# Kx Ky E
0 3 -0.00093764911483518
0 3 -0.00091511526132848
0 3 -0.00091511521917909
0 3 -0.00089926138261731
0 3 -0.00089926135063223
0 3 -0.00089604444023195
0 3 -0.00089510849835861
0 3 -0.00089510845389285
0 3 -0.00089109325397096
0 3 -0.00089109324542669
0 3 -0.00088148434725355
0 3 -0.00087776932616634
0 3 -0.00087703736590328
0 3 -0.00087703735639977
0 3 -0.00087699969770227
0 3 -0.00087634873975517
0 3 -0.00086706755303467
0 3 -0.00086087553289005
0 3 -0.00086085270417513
0 3 -0.0008595794935875
0 3 -0.00085956946934118
0 3 -0.00085330438571596
0 3 -0.00085198813832754
0 3 -0.0008500108394216
0 3 -0.00084503144836745
0 3 -0.00084178073078789
0 3 -0.00083792715595088
0 3 -0.00083569687622642
0 3 -0.00083176830863074
0 3 -0.00083130857429836
