# Kx Ky E
0 4 -1.9819744418834
0 4 -1.9452646694344
0 4 -1.9452646694343
0 4 -1.9433459458195
0 4 -1.937704074099
0 4 -1.937704074099
0 4 -1.9334534161819
0 4 -1.9319676836408
0 4 -1.9319676836408
0 4 -1.9305073214535
0 4 -1.9305073214535
0 4 -1.9260260146084
0 4 -1.9139909502335
0 4 -1.9139909502335
0 4 -1.9118393524865
0 4 -1.9092049139653
0 4 -1.9092049139653
0 4 -1.9020642608648
0 4 -1.9019340396846
0 4 -1.9014640936097
0 4 -1.8980821076321
0 4 -1.8943331072221
0 4 -1.8940362422953
0 4 -1.8925052257275
0 4 -1.8919699314823
0 4 -1.8898090189165
0 4 -1.8874440661503
0 4 -1.8874382010356
0 4 -1.8868618031298
0 4 -1.885606870534
