# Kx Ky E
0 0 -2.3259479185839
0 0 -2.300889285329
0 0 -2.300889285329
0 0 -2.2641468804582
0 0 -2.2641468804581
0 0 -2.2631771802545
0 0 -2.2631771802545
0 0 -2.2612740698187
0 0 -2.2612740698187
0 0 -2.2531830297996
0 0 -2.2531830297995
0 0 -2.2520543885925
0 0 -2.2520543885925
0 0 -2.2512900339712
0 0 -2.2475200173977
0 0 -2.2475200123385
0 0 -2.2445964611951
0 0 -2.2442115612176
0 0 -2.2439020455363
0 0 -2.2436999141409
0 0 -2.2404322998512
0 0 -2.2400699134948
0 0 -2.2385395921182
0 0 -2.238131018655
0 0 -2.2368417039922
0 0 -2.234832943668
0 0 -2.2325717027104
0 0 -2.2300824312882
0 0 -2.2285333983655
0 0 -2.2262119332999
