# Kx Ky E
0 3 9.9848509114958e+19
0 3 1.0132303135042e+20
0 3 1.0244262478101e+20
0 3 1.0285601088525e+20
0 3 1.029251497557e+20
0 3 1.036578074649e+20
0 3 1.0429033767822e+20
0 3 1.0454368830298e+20
0 3 1.0491718652122e+20
0 3 1.0533307403908e+20
0 3 1.0549980458204e+20
0 3 1.057574122469e+20
0 3 1.0596739112702e+20
0 3 1.0613986545471e+20
0 3 1.0636290213579e+20
0 3 1.0644695494757e+20
0 3 1.0669724756106e+20
0 3 1.0683159052113e+20
0 3 1.0714693725478e+20
0 3 1.0738790545631e+20
0 3 1.0749580380249e+20
0 3 1.0756022013718e+20
0 3 1.077097875105e+20
0 3 1.0791375310305e+20
0 3 1.080827070192e+20
0 3 1.0815453231971e+20
0 3 1.0825286225245e+20
0 3 1.083622666762e+20
0 3 1.0849023136776e+20
0 3 1.0873160142398e+20
