# Kx Ky E
0 3 -19.937247683623
0 3 -19.7495147787
0 3 -19.438354408914
0 3 -19.006292067162
0 3 -18.456732961384
0 3 -17.793838847108
0 3 -17.022386291909
0 3 -16.147626409181
0 3 -15.175171846927
0 3 -14.110934741761
0 3 -12.961126322638
0 3 -11.732308457882
0 3 -10.431469664936
0 3 -9.0660925065071
0 3 -7.6441875531381
0 3 -6.1742844858106
0 3 -5.6779559223089
0 3 -4.6653846964688
0 3 -3.1268877480152
0 3 -1.5685150978576
0 3 -0.16790822714672
0 3 -0.030129082896837
0 3 0
0 3 5.3290705182008e-15
0 3 0.030129082896844
0 3 0.16790822714672
0 3 1.5685150978576
0 3 3.1268877480152
0 3 4.6653846964688
0 3 5.6779559223089
1 3 -19.903634310361
1 3 -19.615481855869
1 3 -19.138362300089
1 3 -18.476929840819
1 3 -17.637611581849
1 3 -16.628531094243
1 3 -15.459422228456
1 3 -14.141535560475
1 3 -14.01151712786
1 3 -12.68753716872
1 3 -11.11139797233
1 3 -9.4282722530295
1 3 -7.6543667674611
1 3 -5.8068104404085
1 3 -3.9035750741152
1 3 -1.963888358844
1 3 -0.088557361735024
1 3 -0.020850880288409
1 3 -3.5527136788005e-15
1 3 5.3290705182008e-15
1 3 0.020850880288409
1 3 0.088557361735006
1 3 1.963888358844
1 3 3.9035750741152
1 3 5.8068104404085
1 3 7.6543667674611
1 3 9.4282722530295
1 3 11.11139797233
1 3 12.68753716872
1 3 14.01151712786
2 3 -19.964864327435
2 3 -19.859581679349
2 3 -19.684524619102
2 3 -19.440312284618
2 3 -19.127807744426
2 3 -18.748114402124
2 3 -18.302571535849
2 3 -17.792749060697
2 3 -17.220441592473
2 3 -16.587661873538
2 3 -15.896633600132
2 3 -15.149783669705
2 3 -14.349733850146
2 3 -13.499291862929
2 3 -12.601441869904
2 3 -12.334404219628
2 3 -11.659334358456
2 3 -10.676275430961
2 3 -9.6557155210802
2 3 -8.6012375828026
2 3 -7.5165448356293
2 3 -6.4054482274142
2 3 -5.2718539892788
2 3 -4.119752397438
2 3 -2.9532122460265
2 3 -1.7764092651116
2 3 -0.59416987103688
2 3 -0.045076229894224
2 3 -0.037181606938805
2 3 0
3 3 -19.964826284364
3 3 -19.859433488295
3 3 -19.684205686729
3 3 -19.439779815995
3 3 -19.127041126882
3 3 -18.747117259003
3 3 -18.301371305951
3 3 -17.791394255077
3 3 -17.218997148639
3 3 -16.586203231192
3 3 -15.895240236338
3 3 -15.148532844624
3 3 -14.348695235669
3 3 -13.726178622844
3 3 -13.498523580389
3 3 -12.600988286365
3 3 -11.659225826702
3 3 -10.676530052737
3 3 -9.6563430226895
3 3 -8.6022456099739
3 3 -7.5179486138642
3 3 -6.4072861918699
3 3 -5.274216604572
3 3 -4.1228464748907
3 3 -2.9575461771837
3 3 -1.7835825595827
3 3 -0.61536041994852
3 3 -0.1155765759043
3 3 -0.039688680324085
3 3 -7.105427357601e-15
4 3 -19.903627439563
4 3 -19.615455543868
4 3 -19.138307181749
4 3 -18.476840968957
4 3 -17.637488572915
4 3 -16.628377282687
4 3 -15.459243154445
4 3 -14.141337205326
4 3 -13.861800740868
4 3 -12.687324264214
4 3 -11.111172474891
4 3 -9.4280316962938
4 3 -7.6541014798651
4 3 -5.8064963844029
4 3 -3.9031482642507
4 3 -1.9630905214936
4 3 -0.082610798298525
4 3 -0.02600991634829
4 3 -7.105427357601e-15
4 3 5.3290705182008e-15
4 3 0.02600991634829
4 3 0.082610798298521
4 3 1.9630905214936
4 3 3.9031482642507
4 3 5.8064963844029
4 3 7.6541014798651
4 3 9.4280316962938
4 3 11.111172474891
4 3 12.687324264214
4 3 13.861800740868
5 3 -19.964816899223
5 3 -19.859396293761
5 3 -19.684123269623
5 3 -19.439636361155
5 3 -19.126822883334
5 3 -18.746812855148
5 3 -18.300971898134
5 3 -17.790893508092
5 3 -17.218391058257
5 3 -16.585489805667
5 3 -15.894419054888
5 3 -15.147604505555
5 3 -14.347660694907
5 3 -13.497383362048
5 3 -12.599741517925
5 3 -11.657869005399
5 3 -10.675055370635
5 3 -9.6547359289892
5 3 -8.600480984491
5 3 -7.5159842480298
5 3 -6.4050506116077
5 3 -5.5264146161881
5 3 -5.2715836558572
5 3 -4.1195739484245
5 3 -2.9530922494075
5 3 -1.7763133065009
5 3 -0.59402980440028
5 3 -0.17060602180195
5 3 -0.098863977672551
5 3 -1.7763568394003e-15
6 3 -19.964824736469
6 3 -19.859427152326
6 3 -19.684190909382
6 3 -19.439752319993
6 3 -19.126995889389
6 3 -18.747048500049
6 3 -18.301272593627
6 3 -17.791258718099
6 3 -17.218817770378
6 3 -16.58597318475
6 3 -15.894953209694
6 3 -15.148183299683
6 3 -14.348278545014
6 3 -13.498035988674
6 3 -13.24180948548
6 3 -12.600426645415
6 3 -11.658587047587
6 3 -10.675810192962
6 3 -9.6555358610606
6 3 -8.6013404099664
6 3 -7.5169264251918
6 3 -6.4061131715192
6 3 -5.2728304291529
6 3 -4.1211240241652
6 3 -2.9552076735089
6 3 -1.7797805075475
6 3 -0.60440598406894
6 3 -0.11535473010398
6 3 -0.049613320445927
6 3 1.7763568394003e-15
7 3 -19.964851946497
7 3 -19.859533310617
7 3 -19.684419993614
7 3 -19.440136289507
7 3 -19.127551686909
7 3 -18.747776601477
7 3 -18.302157210298
7 3 -17.792269561196
7 3 -17.219913108476
7 3 -16.587103787363
7 3 -15.896066690796
