# Kx Ky E
0 4 -19.903689805129
0 4 -19.61568790394
0 4 -19.138771047074
0 4 -18.477536377667
0 4 -17.638355989402
0 4 -16.629314550739
0 4 -15.460130885918
0 4 -14.142064360665
0 4 -14.118053925283
0 4 -12.687806877137
0 4 -11.111361312633
0 4 -9.4279073615315
0 4 -7.6536559402277
0 4 -5.8056935843887
0 4 -3.9018188388172
0 4 -1.9603767625075
0 4 -0.0084996917711866
0 4 -0.00089952153984463
0 4 -2.5579538487364e-13
0 4 2.4868995751604e-13
0 4 0.0008995215398393
0 4 0.0084996917711777
0 4 1.9603767625075
0 4 3.9018188388172
0 4 5.8056935843887
0 4 7.6536559402277
0 4 9.4279073615315
0 4 11.111361312633
0 4 12.687806877137
0 4 14.118053925283
1 4 -19.97960352895
1 4 -19.918572102621
1 4 -19.817367973485
1 4 -19.676724611311
1 4 -19.497598129517
1 4 -19.28111152726
1 4 -19.028500740418
1 4 -18.741070014532
1 4 -18.420160918727
1 4 -18.067135505185
1 4 -17.68337100731
1 4 -17.270261948663
1 4 -16.829225660531
1 4 -16.361708359576
1 4 -15.869190328636
1 4 -15.353189841775
1 4 -14.815266124712
1 4 -14.257021934556
1 4 -14.139222607273
1 4 -13.680106391543
1 4 -13.086218434069
1 4 -12.477110395775
1 4 -11.854589650614
1 4 -11.220515771157
1 4 -10.576796697527
1 4 -9.9254055827771
1 4 -9.2684544491855
1 4 -8.6083041155038
1 4 -7.9475030874774
1 4 -7.5002785440187
2 4 -19.903690878907
2 4 -19.615691949097
2 4 -19.138779285772
2 4 -18.477549126757
2 4 -17.638372677153
2 4 -16.629333949488
2 4 -15.460151469819
2 4 -14.14208467826
2 4 -14.127948336238
2 4 -12.687825848958
2 4 -11.111378409528
2 4 -9.4279226727445
2 4 -7.6536701979415
2 4 -5.8057083171493
2 4 -3.9018372769204
2 4 -1.9604101606769
2 4 -0.011668643723437
2 4 -0.00097239538227178
2 4 -2.6645352591004e-13
2 4 2.3980817331903e-13
2 4 0.00097239538225757
2 4 0.011668643723452
2 4 1.9604101606769
2 4 3.9018372769204
2 4 5.8057083171492
2 4 7.6536701979415
2 4 9.4279226727445
2 4 11.111378409528
2 4 12.687825848958
2 4 14.127948336238
3 4 -19.96479053679
3 4 -19.859293087056
3 4 -19.683899249807
3 4 -19.439257714987
3 4 -19.126268619003
3 4 -18.746076241381
3 4 -18.300060556334
3 4 -17.789828184658
3 4 -17.217203251298
3 4 -16.584218546095
3 4 -15.893107226274
3 4 -15.146295116573
3 4 -14.34639348908
3 4 -13.496192070035
3 4 -12.598651944992
3 4 -12.429701105341
3 4 -11.656898022701
3 4 -10.674210763363
3 4 -9.6540169603791
3 4 -8.5998794644142
3 4 -7.5154858355606
3 4 -6.4046359920575
3 4 -5.2712289937997
3 4 -4.1192491880856
3 4 -2.952752233016
3 4 -1.7758534663801
3 4 -0.59275831694151
3 4 -0.018520263466897
3 4 -0.0069931284867479
3 4 -1.7763568394003e-15
4 4 -19.90369211946
4 4 -19.615696613197
4 4 -19.138788751529
4 4 -18.477563695612
4 4 -17.638391597843
4 4 -16.629355700051
4 4 -15.46017418739
4 4 -14.142106602856
4 4 -14.134670220436
4 4 -12.687845671778
4 4 -11.111395469741
4 4 -9.427937007142
4 4 -7.6536825052827
4 4 -5.8057199815974
4 4 -3.9018509140541
4 4 -1.960434004078
4 4 -0.01343825369641
4 4 -0.00081532477232393
4 4 -6.0929039591429e-13
4 4 6.0040861171728e-13
4 4 0.0008153247723417
4 4 0.01343825369641
4 4 1.960434004078
4 4 3.9018509140541
4 4 5.8057199815973
4 4 7.6536825052827
4 4 9.427937007142
4 4 11.111395469741
4 4 12.687845671778
4 4 14.134670220436
5 4 -19.903682735406
5 4 -19.615661386526
5 4 -19.138717456785
5 4 -18.477454436878
5 4 -17.638250605772
5 4 -16.629195125208
5 4 -15.460008753068
5 4 -14.141950167691
5 4 -14.093801916668
5 4 -12.687708567249
5 4 -11.111283068821
5 4 -9.4278495318143
5 4 -7.6536157060552
5 4 -5.8056659546252
5 4 -3.9017972231106
5 4 -1.9603495196789
5 4 -0.0051016332699714
5 4 -0.00078201758070584
5 4 -9.7699626167014e-14
5 4 1.0658141036402e-13
5 4 0.00078201758072538
5 4 0.0051016332699749
5 4 1.9603495196789
5 4 3.9017972231106
5 4 5.8056659546252
5 4 7.6536157060552
5 4 9.4278495318143
5 4 11.111283068821
5 4 12.687708567249
5 4 14.093801916668
6 4 -19.964703443333
6 4 -19.85895191337
6 4 -19.683158002808
6 4 -19.438003403184
6 4 -19.124430405964
6 4 -18.743630877411
6 4 -18.297033527437
6 4 -17.786290426794
6 4 -17.213263758089
6 4 -16.580013685888
6 4 -15.888787993491
6 4 -15.142013786326
6 4 -14.342291165255
6 4 -13.492388408103
6 4 -12.59523793996
6 4 -12.437279691553
6 4 -11.653932268914
6 4 -10.671719117449
6 4 -9.6519951550557
6 4 -8.5982979759575
6 4 -7.5142962069557
6 4 -6.4037778294522
6 4 -5.2706369350063
6 4 -4.1188592076478
6 4 -2.952506472527
6 4 -1.7757008681658
6 4 -0.59261375870113
6 4 -0.0088047854159008
6 4 -0.0014756157337477
6 4 -1.2434497875802e-14
7 4 -19.579171306074
7 4 -18.411528013169
7 4 -16.689651406
7 4 -14.593339329755
7 4 -14.118179613299
7 4 -12.276575995985
7 4 -9.8749168571148
7 4 -7.4850512636052
7 4 -5.3548376447169
7 4 -3.3444483843559
7 4 -2.0413801722071
7 4 -0.75511053932273
7 4 -0.21173625836269
7 4 -0.06707924674145
7 4 -0.0017015429929135
7 4 -0.00015192079146509
7 4 -2.4868995751604e-14
7 4 3.1974423109205e-14
7 4 0.00015192079145621
7 4 0.001701542992917
7 4 0.067079246741432
7 4 0.2117362583627
7 4 0.75511053932273
7 4 2.0413801722071
7 4 3.3444483843559
7 4 5.3548376447169
7 4 7.4850512636052
7 4 9.8749168571148
7 4 12.276575995985
7 4 14.118179613299
8 4 -19.903682503006
8 4 -19.615660514125
8 4 -19.138715691187
8 4 -18.477451731288
8 4 -17.63824711486
8 4 -16.629191150483
8 4 -15.460004659911
8 4 -14.141946300086
8 4 -14.094003574656
8 4 -12.687705181725
8 4 -11.111280298979
8 4 -9.427847383703
8 4 -7.6536140753973
8 4 -5.8056646480225
8 4 -3.90179593938
8 4 -1.9603475169474
8 4 -0.0047109705996053
8 4 -0.00072406377646672
8 4 -1.9362289549463e-13
8 4 1.9895196601283e-13
8 4 0.00072406377651646
8 4 0.0047109705995911
8 4 1.9603475169474
8 4 3.90179593938
8 4 5.8056646480225
8 4 7.6536140753973
8 4 9.427847383703
8 4 11.111280298979
8 4 12.687705181725
8 4 14.094003574656
9 4 -19.903679601566
9 4 -19.615649670315
9 4 -19.138693918061
9 4 -18.477418778939
9 4 -17.638205387896
9 4 -16.629144961061
9 4 -15.45995910921
9 4 -14.141906146208
9 4 -14.07309616867
9 4 -12.687673993217
9 4 -11.111260062875
9 4 -9.4278386058861
9 4 -7.6536163477807
9 4 -5.8056777680136
9 4 -3.9018224746801
9 4 -1.9604050206919
9 4 -0.012040509027594
9 4 -0.0021275121136206
9 4 -3.3750779948605e-14
9 4 5.8619775700208e-14
9 4 0.0021275121136721
9 4 0.012040509027583
9 4 1.9604050206919
9 4 3.9018224746801
9 4 5.8056777680136
9 4 7.6536163477808
9 4 9.4278386058861
9 4 11.111260062875
9 4 12.687673993217
9 4 14.07309616867
10 4 -19.903689487181
10 4 -19.615686703889
10 4 -19.138768594722
10 4 -18.477532563052
10 4 -17.638350958483
10 4 -16.629308639059
10 4 -15.46012451595
10 4 -14.142057934002
10 4 -14.121547094446
10 4 -12.687800686664
10 4 -11.111355486358
10 4 -9.4279018331494
10 4 -7.6536504208421
10 4 -5.8056874641413
10 4 -3.9018107409576
10 4 -1.9603616203312
10 4 -0.0065095868949818
10 4 -0.00066117274590027
10 4 -7.105427357601e-15
10 4 2.8421709430404e-14
10 4 0.00066117274590916
10 4 0.0065095868949872
10 4 1.9603616203312
10 4 3.9018107409576
10 4 5.8056874641413
10 4 7.6536504208421
10 4 9.4279018331494
10 4 11.111355486358
10 4 12.687800686664
10 4 14.121547094446
11 4 -19.964721182028
11 4 -19.859021452699
11 4 -19.683309266161
11 4 -19.438259772754
11 4 -19.124806842115
11 4 -18.744132736663
11 4 -18.297656210022
11 4 -17.787019914324
11 4 -17.214078008965
11 4 -16.580884751686
11 4 -15.889684622491
11 4 -15.142904212514
11 4 -14.343145760316
11 4 -13.493181906755
11 4 -12.595951028157
11 4 -12.43293746093
11 4 -11.654552430557
11 4 -10.672240744061
11 4 -9.6524190129629
11 4 -8.5986301841107
11 4 -7.5145469035104
11 4 -6.4039597034685
11 4 -5.2707637855994
11 4 -4.1189446944426
11 4 -2.9525633339789
11 4 -1.7757417825454
11 4 -0.59267077424799
11 4 -0.017074078781334
11 4 -0.0034378513862841
11 4 0
12 4 -19.903689433196
12 4 -19.615686743979
12 4 -19.138769552712
12 4 -18.477536118626
12 4 -17.638359535252
12 4 -16.62932505889
12 4 -15.460151560465
12 4 -14.142097985063
12 4 -14.136591172839
12 4 -12.68785560357
12 4 -11.111426854218
12 4 -9.4279917532522
12 4 -7.6537632723677
12 4 -5.8058341692438
12 4 -3.9020226928023
12 4 -1.9607720743749
12 4 -0.029011279653481
12 4 -0.0015298691764478
12 4 -7.4606987254811e-14
12 4 1.1723955140042e-13
12 4 0.0015298691764603
12 4 0.029011279653465
12 4 1.9607720743749
12 4 3.9020226928022
12 4 5.8058341692438
12 4 7.6537632723677
12 4 9.4279917532521
12 4 11.111426854218
12 4 12.68785560357
12 4 14.136591172839
13 4 -19.903690488846
13 4 -19.615690448566
13 4 -19.138776117786
13 4 -18.477543959738
13 4 -17.638365413027
13 4 -16.629324681785
13 4 -15.460140407362
13 4 -14.142072053288
13 4 -14.09212154011
13 4 -12.687811822747
13 4 -11.111362974727
13 4 -9.4279055272434
13 4 -7.6536505107172
13 4 -5.8056841264781
13 4 -3.9018033752666
13 4 -1.9603453485711
13 4 -0.0030581505811131
13 4 -0.00045205074668075
13 4 -3.1974423109205e-14
13 4 3.0198066269804e-14
13 4 0.00045205074671806
13 4 0.0030581505811433
13 4 1.9603453485711
13 4 3.9018033752666
13 4 5.8056841264781
13 4 7.6536505107171
13 4 9.4279055272433
13 4 11.111362974727
13 4 12.687811822747
13 4 14.09212154011
14 4 -19.964837171048
14 4 -19.859475512806
14 4 -19.684294699971
14 4 -19.439924871071
14 4 -19.127242821187
14 4 -18.747366989285
14 4 -18.301651501567
14 4 -17.791679536848
14 4 -17.219256248349
14 4 -16.586401415495
14 4 -15.895341921391
14 4 -15.148504071024
14 4 -14.348505695611
14 4 -13.52728040535
14 4 -13.49814794034
14 4 -12.600406610884
14 4 -11.658422958016
14 4 -10.675493804264
14 4 -9.6550609542793
14 4 -8.6006998738557
14 4 -7.5161076664353
14 4 -6.4050904216893
14 4 -5.2715500766908
14 4 -4.1194711006275
14 4 -2.9529080455074
14 4 -1.7759800923397
14 4 -0.59297540679797
14 4 -0.017666186480685
14 4 -0.0057399694663314
14 4 -7.105427357601e-15
15 4 -19.903689664838
15 4 -19.615687424706
15 4 -19.138770248333
15 4 -18.477535560875
15 4 -17.638355712984
15 4 -16.629315531575
15 4 -15.460133866902
15 4 -14.142069992445
15 4 -14.124974221733
15 4 -12.687815656744
15 4 -11.111373611336
15 4 -9.4279235748109
15 4 -7.6536768370481
15 4 -5.8057211396316
