# Kx Ky E
0 3 -19.937247683623
0 3 -19.749514778701
0 3 -19.438354408914
0 3 -19.006292067163
0 3 -18.456732961385
0 3 -17.793838847109
0 3 -17.022386291911
0 3 -16.147626409183
0 3 -15.175171846929
0 3 -14.110934741762
0 3 -12.96112632264
0 3 -11.732308457883
0 3 -10.431469664938
0 3 -9.0660925065079
0 3 -7.6441875531386
0 3 -6.174284485811
0 3 -5.6779559223089
0 3 -4.665384696469
0 3 -3.1268877480153
0 3 -1.5685150978576
0 3 -0.16790822714655
0 3 -0.030129082897229
0 3 -1.7763568394003e-15
0 3 5.3290705182008e-15
0 3 0.030129082897227
0 3 0.16790822714656
0 3 1.5685150978576
0 3 3.1268877480153
0 3 4.665384696469
0 3 5.6779559223089
1 3 -19.903634310361
1 3 -19.615481855869
1 3 -19.138362300089
1 3 -18.476929840819
1 3 -17.637611581849
1 3 -16.628531094243
1 3 -15.459422228456
1 3 -14.141535560475
1 3 -14.01151712786
1 3 -12.68753716872
1 3 -11.11139797233
1 3 -9.4282722530294
1 3 -7.6543667674611
1 3 -5.8068104404085
1 3 -3.9035750741152
1 3 -1.963888358844
1 3 -0.088557361735147
1 3 -0.020850880288414
1 3 -8.8817841970013e-15
1 3 1.7763568394003e-15
1 3 0.020850880288405
1 3 0.088557361735147
1 3 1.963888358844
1 3 3.9035750741152
1 3 5.8068104404085
1 3 7.6543667674611
1 3 9.4282722530294
1 3 11.11139797233
1 3 12.68753716872
1 3 14.01151712786
2 3 -19.964864327435
2 3 -19.859581679349
2 3 -19.684524619102
2 3 -19.440312284618
2 3 -19.127807744426
2 3 -18.748114402124
2 3 -18.302571535849
2 3 -17.792749060697
2 3 -17.220441592473
2 3 -16.587661873538
2 3 -15.896633600132
2 3 -15.149783669705
2 3 -14.349733850146
2 3 -13.49929186293
2 3 -12.601441869904
2 3 -12.334404219628
2 3 -11.659334358456
2 3 -10.676275430961
2 3 -9.6557155210802
2 3 -8.6012375828025
2 3 -7.5165448356293
2 3 -6.4054482274142
2 3 -5.2718539892788
2 3 -4.1197523974379
2 3 -2.9532122460265
2 3 -1.7764092651116
2 3 -0.59416987103685
2 3 -0.045076229893864
2 3 -0.037181606938606
2 3 -1.7763568394003e-15
3 3 -19.964826284364
3 3 -19.859433488295
3 3 -19.684205686729
3 3 -19.439779815995
3 3 -19.127041126882
3 3 -18.747117259003
3 3 -18.301371305951
3 3 -17.791394255077
3 3 -17.218997148639
3 3 -16.586203231192
3 3 -15.895240236338
3 3 -15.148532844624
3 3 -14.348695235669
3 3 -13.726178622844
3 3 -13.498523580389
3 3 -12.600988286365
3 3 -11.659225826702
3 3 -10.676530052737
3 3 -9.6563430226895
3 3 -8.6022456099739
3 3 -7.5179486138642
3 3 -6.4072861918699
3 3 -5.274216604572
3 3 -4.1228464748907
3 3 -2.9575461771836
3 3 -1.7835825595827
3 3 -0.61536041994853
3 3 -0.11557657590434
3 3 -0.039688680324092
3 3 -3.5527136788005e-15
4 3 -19.903627439563
4 3 -19.615455543868
4 3 -19.13830718175
4 3 -18.476840968957
4 3 -17.637488572915
4 3 -16.628377282687
4 3 -15.459243154445
4 3 -14.141337205327
4 3 -13.861800740868
4 3 -12.687324264215
4 3 -11.111172474891
4 3 -9.4280316962939
4 3 -7.6541014798651
4 3 -5.806496384403
4 3 -3.9031482642507
4 3 -1.9630905214936
