# Kx Ky E
0 3 -19.964838676598
0 3 -19.859481583446
0 3 -19.68430853215
0 3 -19.439949862459
0 3 -19.127282598133
0 3 -18.747425389675
0 3 -18.301732511695
0 3 -17.791787188135
0 3 -17.21939448696
0 3 -16.586573964211
0 3 -15.895552157734
0 3 -15.148754948221
0 3 -14.348799733892
0 3 -13.521614958899
0 3 -13.498487316432
0 3 -12.600793375768
0 3 -11.658859421129
0 3 -10.675983143452
0 3 -9.6556081590921
0 3 -8.6013132366903
0 3 -7.5168012803762
0 3 -6.4058887472859
0 3 -5.272497316739
0 3 -4.1206536291196
0 3 -2.954521261548
0 3 -1.7786175379538
0 3 -0.60080967090764
0 3 -0.080524544589352
0 3 -0.03322165993759
0 3 -1.7763568394003e-15
1 3 -19.903651533959
1 3 -19.615546094081
1 3 -19.138490770208
1 3 -18.477122951973
1 3 -17.637853378143
1 3 -16.628793815539
1 3 -15.459673217498
1 3 -14.141744274598
1 3 -14.076101544133
1 3 -12.687680356357
1 3 -11.11146184472
1 3 -9.4282512386774
1 3 -7.6542586024047
1 3 -5.8066057033555
1 3 -3.9032293922396
1 3 -1.96317682576
1 3 -0.076877858505283
1 3 -0.013783559835407
1 3 -2.6645352591004e-14
1 3 3.5527136788005e-14
1 3 0.013783559835415
1 3 0.076877858505274
1 3 1.96317682576
1 3 3.9032293922396
1 3 5.8066057033555
1 3 7.6542586024047
1 3 9.4282512386773
1 3 11.11146184472
1 3 12.687680356357
1 3 14.076101544133
2 3 -19.717294251938
2 3 -18.919451796077
2 3 -17.71317246055
2 3 -16.202099686988
2 3 -14.473409644242
2 3 -12.605063244634
2 3 -10.67080162264
2 3 -8.7333282060738
2 3 -6.8735123184885
2 3 -5.1624430549239
2 3 -3.5997718866415
2 3 -2.3687088619127
2 3 -2.3267072587157
2 3 -1.4404230834601
2 3 -0.64683667942023
2 3 -0.20994653869343
2 3 -0.057714150746767
2 3 -0.044795813602253
2 3 -0.020562277550452
2 3 -0.0066722285198875
2 3 -3.5527136788005e-15
2 3 1.7763568394003e-15
2 3 0.0066722285198857
2 3 0.020562277550448
2 3 0.044795813602255
2 3 0.057714150746776
2 3 0.20994653869343
2 3 0.64683667942023
2 3 1.4404230834601
2 3 2.3267072587157
3 3 -19.903642689203
3 3 -19.615511480116
3 3 -19.138415617124
3 3 -18.476995648193
3 3 -17.637665935154
3 3 -16.628541744992
3 3 -15.459354842444
3 3 -14.141359496584
3 3 -13.98982438959
3 3 -12.687228801712
3 3 -11.110940056877
3 3 -9.4276479532796
3 3 -7.6535453189636
3 3 -5.8057131487984
3 3 -3.9019674549124
3 3 -1.960759554691
3 3 -0.031918269838808
3 3 -0.00843336703592
3 3 -1.4210854715202e-14
3 3 1.2434497875802e-14
3 3 0.0084333670359253
3 3 0.031918269838803
3 3 1.960759554691
3 3 3.9019674549124
3 3 5.8057131487984
3 3 7.6535453189636
3 3 9.4276479532796
3 3 11.110940056877
3 3 12.687228801712
3 3 13.98982438959
4 3 -19.948603621535
4 3 -19.794726918485
4 3 -19.539299256807
4 3 -19.183843818867
4 3 -18.730441380344
4 3 -18.181684549204
4 3 -17.540627443904
4 3 -16.810736722921
4 3 -15.995849816782
4 3 -15.100144778164
4 3 -14.128123440279
4 3 -13.084606251168
4 3 -11.974734311467
4 3 -10.803972732743
4 3 -9.5781097806889
4 3 -8.3032479677636
4 3 -6.9857854816813
4 3 -5.632388284955
4 3 -4.2499544528483
4 3 -2.8455727883377
4 3 -2.3121991790407
4 3 -1.4264777412086
4 3 -0.12993717211697
4 3 -0.0056306159969708
4 3 -7.105427357601e-15
4 3 5.3290705182008e-15
4 3 0.0056306159969708
4 3 0.12993717211697
4 3 1.4264777412086
4 3 2.3121991790407
5 3 -19.964476340975
