# Kx Ky E
0 3 -19.936725035146
0 3 -19.747470571904
0 3 -19.433929619014
0 3 -18.998861485977
0 3 -18.445994062741
0 3 -17.779881972226
0 3 -17.005724095059
0 3 -16.129157505915
0 3 -15.156063540494
0 3 -14.092435521497
0 3 -12.944351290119
0 3 -11.718059603765
0 3 -10.420142033405
0 3 -9.0576817395044
0 3 -7.6383770589551
0 3 -6.1705717873678
0 3 -5.6244906192154
0 3 -4.6632093009216
0 3 -3.1257362356888
0 3 -1.5679841064612
0 3 -0.15609067308427
0 3 -0.0053266796280695
0 3 -2.3092638912203e-14
0 3 1.5987211554602e-14
0 3 0.0053266796280607
0 3 0.15609067308427
0 3 1.5679841064611
0 3 3.1257362356888
0 3 4.6632093009216
0 3 5.6244906192154
1 3 -19.903643635868
1 3 -19.61551687221
1 3 -19.138433188095
1 3 -18.47703847711
1 3 -17.637751688418
1 3 -16.628690405569
1 3 -15.459585845148
1 3 -14.141689435419
1 3 -14.056325393165
1 3 -12.68767082724
1 3 -11.111505971419
1 3 -9.4283543462962
1 3 -7.6544271248121
1 3 -5.8068565983165
1 3 -3.9036181181198
1 3 -1.9639529784537
1 3 -0.08739226253368
1 3 -0.017149680197448
1 3 0
1 3 1.0658141036402e-14
1 3 0.01714968019744
1 3 0.087392262533685
1 3 1.9639529784537
1 3 3.9036181181198
1 3 5.8068565983165
1 3 7.6544271248121
1 3 9.4283543462963
1 3 11.111505971419
1 3 12.68767082724
1 3 14.056325393165
2 3 -19.964846634388
2 3 -19.859512505616
2 3 -19.684374798139
2 3 -19.440059793581
2 3 -19.127439465962
2 3 -18.747626961994
2 3 -18.301971168475
2 3 -17.792050571072
2 3 -17.219666583487
2 3 -16.586836479122
2 3 -15.895785998698
2 3 -15.148941647798
2 3 -14.348922648086
2 3 -13.498532472157
2 3 -13.099883998398
2 3 -12.600749877844
2 3 -11.658719362339
2 3 -10.675740975749
2 3 -9.6552594621465
2 3 -8.6008527283359
2 3 -7.5162196729784
2 3 -6.4051674425567
2 3 -5.2715982293948
2 3 -4.1194958527266
2 3 -2.9529129026433
2 3 -1.7759629718196
2 3 -0.59289368971503
2 3 -0.016473871139137
2 3 -0.0087515232249533
2 3 0
3 3 -19.903507845641
3 3 -19.615013270311
3 3 -19.137436799862
3 3 -18.475567858388
3 3 -17.635965328804
3 3 -16.626846996497
3 3 -15.457983364029
3 3 -14.14060317016
3 3 -13.897347890118
3 3 -12.687308744518
3 3 -11.111993488723
3 3 -9.4297543939699
3 3 -7.656802543622
3 3 -5.8104082198083
3 3 -3.9090794385168
3 3 -1.9747300266138
3 3 -0.18706893111804
3 3 -0.056960135091183
3 3 -3.5527136788005e-15
3 3 5.3290705182008e-15
3 3 0.056960135091186
3 3 0.18706893111803
3 3 1.9747300266138
3 3 3.9090794385168
3 3 5.8104082198083
3 3 7.656802543622
3 3 9.4297543939699
3 3 11.111993488723
3 3 12.687308744519
3 3 13.897347890118
4 3 -19.903643121135
4 3 -19.615514248522
4 3 -19.138425378419
4 3 -18.477020555092
4 3 -17.63771718933
4 3 -16.628632182095
4 3 -15.459497130872
4 3 -14.141564690653
4 3 -13.967002758556
4 3 -12.687505963895
4 3 -11.111297602398
4 3 -9.4280976006895
4 3 -7.6541108743614
4 3 -5.8064519812959
4 3 -3.9030411778164
4 3 -1.9628476195998
4 3 -0.075657820378774
4 3 -0.019802207445952
4 3 -1.7763568394003e-15
4 3 0
4 3 0.019802207445949
4 3 0.075657820378781
4 3 1.9628476195998
4 3 3.9030411778164
4 3 5.8064519812959
4 3 7.6541108743614
4 3 9.4280976006895
4 3 11.111297602398
4 3 12.687505963895
4 3 13.967002758556
5 3 -19.93756770898
5 3 -19.750759817414
5 3 -19.441025927452
5 3 -19.010725525364
5 3 -18.463048143549
5 3 -17.801912675939
5 3 -17.031858670575
5 3 -16.157945994328
5 3 -15.185679345286
5 3 -14.120968743818
5 3 -12.970126917622
5 3 -11.739893148421
5 3 -10.437465747189
5 3 -9.0705249464967
5 3 -7.6472337628511
5 3 -6.1762125526885
5 3 -5.6130761576319
5 3 -4.6664898012839
5 3 -3.1274355160598
5 3 -1.568687266462
5 3 -0.066941525886829
5 3 -0.020656483288262
5 3 -5.3290705182008e-15
5 3 1.7763568394003e-15
5 3 0.02065648328826
5 3 0.066941525886833
5 3 1.568687266462
5 3 3.1274355160599
5 3 4.6664898012839
5 3 5.6130761576319
6 3 -19.964836091176
6 3 -19.859471549134
6 3 -19.68428707422
6 3 -19.439914380053
6 3 -19.127232201676
6 3 -18.747361056674
6 3 -18.301657048805
6 3 -17.79170501062
6 3 -17.219311248315
6 3 -16.586496085722
6 3 -15.895486317886
6 3 -15.148707594028
6 3 -14.348776670948
