# Kx Ky E
0 3 -19.964796623999
0 3 -19.859317069505
0 3 -19.683951869213
0 3 -19.439348042173
0 3 -19.12640359765
0 3 -18.746260418156
0 3 -18.300296016261
0 3 -17.790114689473
0 3 -17.217538558145
0 3 -16.58459886735
0 3 -15.89352778133
0 3 -15.146750724799
0 3 -14.346879160411
0 3 -13.496703564917
0 3 -12.599186297482
0 3 -12.416588842389
0 3 -11.657454048968
0 3 -10.674789615628
0 3 -9.6546228433781
0 3 -8.6005207349786
0 3 -7.5161769259401
0 3 -6.4054011323131
0 3 -5.2721101949926
0 3 -4.1203258451872
0 3 -2.9542003528757
0 3 -1.7782043713134
0 3 -0.59987090068154
0 3 -0.13071337607576
0 3 -0.056735307389784
0 3 -3.5527136788005e-15
1 3 -19.903635545875
1 3 -19.615486115189
1 3 -19.13836954305
1 3 -18.476937630863
1 3 -17.63761524282
1 3 -16.628524482906
1 3 -15.459398810037
1 3 -14.141489386813
1 3 -14.01281529342
1 3 -12.68746338674
1 3 -11.111292565168
1 3 -9.4281306965449
1 3 -7.6541808630014
1 3 -5.806560648256
1 3 -3.9032057175468
1 3 -1.9631640748507
1 3 -0.079345129236794
1 3 -0.018979872133436
1 3 -2.4868995751604e-14
1 3 2.8421709430404e-14
1 3 0.018979872133436
1 3 0.079345129236795
1 3 1.9631640748507
1 3 3.9032057175468
1 3 5.806560648256
1 3 7.6541808630014
1 3 9.4281306965449
1 3 11.111292565168
1 3 12.68746338674
1 3 14.01281529342
2 3 -19.96486627224
2 3 -19.859589299386
2 3 -19.684541184656
2 3 -19.44034035471
2 3 -19.127848991322
2 3 -18.748169527324
2 3 -18.302640281885
2 3 -17.792830311661
2 3 -17.220533546606
2 3 -16.58776226473
2 3 -15.896739942443
2 3 -15.149893500027
2 3 -14.349844948376
2 3 -13.499402435588
2 3 -12.601550691065
2 3 -12.295088856237
2 3 -11.659440870466
2 3 -10.676379816751
2 3 -9.6558187711261
2 3 -8.6013415970228
2 3 -7.5166526343629
2 3 -6.4055644260645
2 3 -5.271985914287
2 3 -4.1199129565045
2 3 -2.9534287607202
2 3 -1.7767621244424
2 3 -0.59522291079547
