# Kx Ky E
0 3 -0.0012055488645153
0 3 -0.0011765767276497
0 3 -0.0011765767073904
0 3 -0.0011561932069597
0 3 -0.001156193199856
0 3 -0.0011520571371122
0 3 -0.0011508537227591
0 3 -0.0011508537083049
0 3 -0.001145691315358
0 3 -0.0011456913141998
0 3 -0.0011333370161228
0 3 -0.0011285605525906
0 3 -0.0011276194636043
0 3 -0.0011276194548948
0 3 -0.0011275710336101
0 3 -0.0011267340913275
0 3 -0.0011148011358326
0 3 -0.0011068399655265
0 3 -0.0011067450552602
0 3 -0.0011051736335688
0 3 -0.0011051152820531
0 3 -0.0010971056375677
0 3 -0.0010954133126635
0 3 -0.0010928710697904
0 3 -0.0010864690026047
0 3 -0.0010822895063107
0 3 -0.0010773349125603
0 3 -0.001074467404198
0 3 -0.0010694164047784
0 3 -0.0010688253133075
