# Kx Ky E
0 3 -1.3234289139171
0 3 -1.2917634586234
0 3 -1.2917634586233
0 3 -1.2698731971578
0 3 -1.2698731971578
0 3 -1.2653394574244
0 3 -1.2639238229894
0 3 -1.2639238229894
0 3 -1.2583179035271
0 3 -1.2583179035271
0 3 -1.2450064279909
0 3 -1.2396243398418
0 3 -1.2385105967277
0 3 -1.2385105930608
0 3 -1.2383923163565
0 3 -1.2377843904162
0 3 -1.22482404686
0 3 -1.2162326642312
0 3 -1.2144453400197
0 3 -1.2143442757417
0 3 -1.2055670756011
0 3 -1.2038392477892
0 3 -1.2005986916002
0 3 -1.1939771423218
0 3 -1.1895142979306
0 3 -1.1841691526479
0 3 -1.1806147640114
0 3 -1.1754792106128
0 3 -1.1748328482889
0 3 -1.172802721759
