# Kx Ky E
0 3 -19.969795769453
0 3 -19.880894128434
0 3 -19.733181349121
0 3 -19.527332729534
0 3 -19.264275407583
0 3 -18.945172075512
0 3 -18.57140220099
0 3 -18.144541502573
0 3 -17.666340193032
0 3 -17.138700647968
0 3 -16.56365607753
0 3 -15.94335382367
0 3 -15.280050237542
0 3 -14.576128610262
0 3 -13.834157191806
0 3 -13.057011591758
0 3 -12.248097491731
0 3 -11.411729147224
0 3 -10.553733610164
0 3 -9.6822360612919
0 3 -8.8077679603268
0 3 -7.9392798948256
0 3 -7.0728528215137
0 3 -6.1880728203849
0 3 -5.2690367077435
0 3 -4.3183845571181
0 3 -3.3491042410536
0 3 -2.3762629327766
0 3 -1.4136840064176
0 3 -0.54910064570341
