# Kx Ky E
0 3 -0.72585084431143
0 3 -0.71504752730501
0 3 -0.71504752730497
0 3 -0.71198910635232
0 3 -0.71198910635231
0 3 -0.71027103959261
0 3 -0.70883800148108
0 3 -0.70883800148101
0 3 -0.70751136237092
0 3 -0.7075113623708
0 3 -0.70485824979963
0 3 -0.70253980479599
0 3 -0.70175750466464
0 3 -0.70050560722411
0 3 -0.70035659986265
0 3 -0.69976479105165
0 3 -0.69802426979986
0 3 -0.69688966584648
0 3 -0.69684561304093
0 3 -0.69463409372423
0 3 -0.69306066430733
0 3 -0.69124580314735
0 3 -0.69100912004109
0 3 -0.69011032247955
0 3 -0.68909884017245
0 3 -0.68802877930831
0 3 -0.68678846757447
0 3 -0.6854662566374
0 3 -0.68530975197718
0 3 -0.68496764135578
