# Kx Ky E
0 3 3.3989002448109e-05
0 3 3.7405234278864e-05
0 3 3.7405251065437e-05
0 3 3.8372403146525e-05
0 3 3.8372408928566e-05
0 3 3.8915723534316e-05
0 3 3.9368836109333e-05
0 3 3.9368873887113e-05
0 3 3.9788387230288e-05
0 3 3.9788392465212e-05
0 3 4.0627376852953e-05
0 3 4.13604993863e-05
0 3 4.1607933139787e-05
0 3 4.2003803024215e-05
0 3 4.2003828090387e-05
0 3 4.2238124528637e-05
0 3 4.2788510937086e-05
0 3 4.3147274913835e-05
0 3 4.3161217949006e-05
0 3 4.3860568990084e-05
0 3 4.4358064078764e-05
0 3 4.4932036594503e-05
0 3 4.5006862237074e-05
0 3 4.5291079738163e-05
0 3 4.5610973852916e-05
0 3 4.5949324805505e-05
0 3 4.6341587735199e-05
0 3 4.6759692253318e-05
0 3 4.6809176073026e-05
0 3 4.6917359375342e-05
