# Kx Ky E
0 3 7.6485822102512e-06
0 3 1.0042361399343e-05
0 3 1.0345005675205e-05
0 3 1.072831136284e-05
0 3 1.107903356079e-05
0 3 1.1309993537267e-05
0 3 1.182129863686e-05
0 3 1.2197175102813e-05
0 3 1.2847790948456e-05
0 3 1.298576115083e-05
0 3 1.3361240503329e-05
0 3 1.4010214988147e-05
0 3 1.4297890016834e-05
0 3 1.4737428067235e-05
0 3 1.5074397207826e-05
0 3 1.5425242851919e-05
0 3 1.5811182867864e-05
0 3 1.6326637794606e-05
0 3 1.6592860184517e-05
0 3 1.7232021708224e-05
0 3 1.7484570477677e-05
0 3 1.7779283290054e-05
0 3 1.7884302414117e-05
0 3 1.8313375742096e-05
0 3 1.8899344876644e-05
0 3 1.9252637386558e-05
0 3 1.9341337711865e-05
0 3 1.9517352184195e-05
0 3 1.9551772954429e-05
0 3 1.9824778762612e-05
