# Kx Ky E
0 3 -3.1263880373444e-13
0 3 -1.5809575870662e-13
0 3 -1.5454304502782e-13
0 3 -6.927791673661e-14
0 3 -6.5725203057809e-14
0 3 -5.8619775700208e-14
0 3 -3.3750779948605e-14
0 3 -2.6645352591004e-14
0 3 -7.105427357601e-15
0 3 0
0 3 5.3290705182008e-15
0 3 1.2434497875802e-14
0 3 4.0856207306206e-14
0 3 4.6185277824407e-14
0 3 8.7041485130612e-14
0 3 0.15372135929371
0 3 0.15374258417854
0 3 0.15374364503566
0 3 0.15374394908972
0 3 0.15376577279279
0 3 0.1545222886566
0 3 0.15460550922425
0 3 0.15466720599278
0 3 0.15469804993834
0 3 0.15500765790778
0 3 0.15563503926036
0 3 0.15569884405955
0 3 0.15588760676805
0 3 0.15671448267201
0 3 0.15729634006639
1 3 -1.9539925233403e-13
1 3 -1.7408297026122e-13
1 3 -5.5067062021408e-14
1 3 -5.5067062021408e-14
1 3 -2.6645352591004e-14
1 3 -1.2434497875802e-14
1 3 -1.0658141036402e-14
1 3 2.8421709430404e-14
1 3 4.6185277824407e-14
1 3 7.105427357601e-14
1 3 7.283063041541e-14
1 3 7.4606987254811e-14
1 3 7.9936057773011e-14
1 3 1.4566126083082e-13
1 3 1.4743761767022e-13
1 3 0.026904589790572
1 3 0.15374258417855
1 3 0.15449968582784
1 3 0.1545222886566
1 3 0.15454715442183
1 3 0.15455380837001
1 3 0.15469586054761
1 3 0.15500765790775
1 3 0.15506482909113
1 3 0.15517651127798
1 3 0.15568259674554
1 3 0.15626888080215
1 3 0.15642494834316
1 3 0.15671448267199
1 3 0.15677471161397
2 3 -4.1033842990146e-13
2 3 -1.5454304502782e-13
2 3 -7.4606987254811e-14
2 3 -2.4868995751604e-14
2 3 -8.8817841970013e-15
2 3 8.8817841970013e-15
2 3 8.8817841970013e-15
2 3 1.2434497875802e-14
2 3 1.5987211554602e-14
2 3 2.4868995751604e-14
2 3 3.5527136788005e-14
2 3 6.5725203057809e-14
2 3 6.750155989721e-14
2 3 7.283063041541e-14
2 3 1.2079226507922e-13
2 3 2.8244073746464e-13
2 3 0.15374364503564
2 3 0.15454715442183
2 3 0.15454731783341
2 3 0.15466720599276
2 3 0.15473849285519
2 3 0.15477946978594
2 3 0.15499785217227
2 3 0.15506482909113
2 3 0.15560115356373
2 3 0.15563503926035
2 3 0.15580657504313
2 3 0.15642494834317
2 3 0.15652234650346
2 3 0.15700731323322
3 3 -1.4033219031262e-13
3 3 -3.5527136788005e-14
3 3 -2.8421709430404e-14
3 3 -1.7763568394003e-14
3 3 1.7763568394003e-15
3 3 7.105427357601e-15
3 3 2.6645352591004e-14
3 3 3.7303493627405e-14
3 3 4.4408920985006e-14
3 3 6.0396132539609e-14
3 3 1.7408297026122e-13
3 3 3.9435121834686e-13
3 3 0.06966893666608
3 3 0.15374394908963
3 3 0.15455380837002
3 3 0.15469804993839
3 3 0.15477946978593
3 3 0.15483352685118
3 3 0.155176511278
3 3 0.15580657504316
3 3 0.15588760676807
3 3 0.15607086490507
3 3 0.15677471161401
3 3 0.15722657562767
3 3 0.15725662499783
3 3 0.15731328425428
3 3 0.15737382941483
3 3 0.15749503958424
3 3 0.15751376586127
3 3 0.15806253716483
4 3 -4.4408920985006e-13
4 3 -1.1368683772162e-13
4 3 -6.0396132539609e-14
4 3 -3.3750779948605e-14
4 3 -3.3750779948605e-14
4 3 -2.1316282072803e-14
4 3 -1.0658141036402e-14
4 3 3.5527136788005e-15
4 3 1.4210854715202e-14
4 3 2.3092638912203e-14
4 3 2.3092638912203e-14
4 3 4.2632564145606e-14
4 3 4.6185277824407e-14
4 3 7.4606987254811e-14
4 3 1.6342482922482e-13
4 3 2.6645352591004e-13
4 3 0.15374364503565
4 3 0.15454715442183
4 3 0.15454715442359
4 3 0.15466720599277
4 3 0.1547384928552
4 3 0.15477946978593
4 3 0.15506441370832
4 3 0.15506482909112
4 3 0.15560115356374
4 3 0.15563503926036
4 3 0.15580657504314
4 3 0.15642494834319
4 3 0.15686249599552
4 3 0.15700731323322
5 3 -2.4513724383723e-13
5 3 -1.9007018181583e-13
5 3 -1.1368683772162e-13
5 3 -8.5265128291212e-14
5 3 -8.8817841970013e-15
5 3 -5.3290705182008e-15
5 3 3.5527136788005e-15
5 3 2.1316282072803e-14
5 3 2.6645352591004e-14
5 3 3.1974423109205e-14
5 3 4.2632564145606e-14
5 3 6.2172489379009e-14
5 3 9.5923269327614e-14
5 3 1.4033219031262e-13
5 3 1.8474111129763e-13
5 3 0.070467366168184
5 3 0.1537425841785
5 3 0.15449968582783
5 3 0.15452228865657
5 3 0.15454715442183
5 3 0.15455380837
5 3 0.15469586054758
5 3 0.15500765790774
5 3 0.15506482909111
5 3 0.15517651127798
5 3 0.15544538348284
5 3 0.15568259674553
5 3 0.15642494834314
5 3 0.15671448267201
5 3 0.15677471161395
6 3 -3.0198066269804e-13
6 3 -2.3092638912203e-13
6 3 -1.4033219031262e-13
6 3 -1.0658141036402e-13
6 3 -5.1514348342607e-14
6 3 -1.5987211554602e-14
6 3 -7.105427357601e-15
6 3 1.5987211554602e-14
6 3 3.9079850466806e-14
6 3 4.6185277824407e-14
6 3 7.4606987254811e-14
6 3 9.2370555648813e-14
6 3 9.5923269327614e-14
6 3 1.1368683772162e-13
6 3 3.4106051316485e-13
6 3 0.10083683432982
6 3 0.15372135929371
6 3 0.15374258417854
6 3 0.15374364503565
6 3 0.15374394908971
6 3 0.15376577279277
6 3 0.15452228865658
6 3 0.15460550922426
6 3 0.15466720599285
6 3 0.15469804993834
6 3 0.15500765790776
6 3 0.15563503926037
6 3 0.15569884405962
6 3 0.1558876067681
6 3 0.15671448267201
7 3 -3.5527136788005e-14
7 3 -3.0198066269804e-14
7 3 -1.7763568394003e-14
7 3 -1.7763568394003e-14
7 3 -1.7763568394003e-15
7 3 3.5527136788005e-15
7 3 1.0658141036402e-14
7 3 2.1316282072803e-14
7 3 2.4868995751604e-14
7 3 3.1974423109205e-14
7 3 3.5527136788005e-14
7 3 6.750155989721e-14
7 3 1.8829382497643e-13
7 3 2.1138646388863e-13
7 3 2.3447910280083e-13
7 3 0.025606877152033
7 3 0.15374258417854
7 3 0.15449968582784
7 3 0.15452228865659
7 3 0.15454715442183
7 3 0.15455380837001
7 3 0.15469586054761
7 3 0.15500765790775
7 3 0.15506482909113
7 3 0.15517651127799
7 3 0.15568259674553
7 3 0.15624081865664
7 3 0.15642494834317
7 3 0.156714482672
7 3 0.15677471161396
8 3 -6.3238303482649e-13
8 3 -3.0198066269804e-13
8 3 -2.6822988274944e-13
8 3 -2.5224267119484e-13
8 3 -1.6520118606422e-13
8 3 -1.0658141036402e-13
8 3 -9.2370555648813e-14
8 3 3.5527136788005e-15
8 3 1.0658141036402e-14
8 3 2.3092638912203e-14
8 3 4.0856207306206e-14
8 3 5.1514348342607e-14
8 3 5.6843418860808e-14
8 3 6.2172489379009e-14
8 3 1.5809575870662e-13
8 3 3.9257486150746e-13
8 3 0.15374364503566
8 3 0.15454715442183
8 3 0.15454716005068
8 3 0.15466720599274
8 3 0.1547384928552
8 3 0.15475737600033
8 3 0.15477946978594
8 3 0.15506482909112
8 3 0.15560115356373
8 3 0.15563503926035
8 3 0.15580657504314
8 3 0.15642494834317
8 3 0.15672624367552
8 3 0.15700731323324
9 3 -2.4868995751604e-14
9 3 -8.8817841970013e-15
9 3 -8.8817841970013e-15
9 3 -7.105427357601e-15
9 3 -3.5527136788005e-15
9 3 -3.5527136788005e-15
9 3 8.8817841970013e-15
9 3 1.7763568394003e-14
9 3 2.1316282072803e-14
9 3 2.4868995751604e-14
9 3 2.6645352591004e-14
9 3 6.750155989721e-14
9 3 0.061416951162087
9 3 0.15374394908963
9 3 0.15455380837003
9 3 0.15469804993833
9 3 0.15477946978593
9 3 0.1548335268512
9 3 0.155176511278
9 3 0.15580657504314
9 3 0.15588760676804
9 3 0.15607086490506
9 3 0.15677471161397
9 3 0.15722099561681
9 3 0.15726811388706
9 3 0.15732051317463
9 3 0.1573755694606
9 3 0.15749814100932
9 3 0.15751158900772
9 3 0.15806253716506
10 3 -3.5349501104065e-13
10 3 -3.1619151741324e-13
10 3 -5.3290705182008e-14
10 3 -4.2632564145606e-14
10 3 -7.105427357601e-15
10 3 7.105427357601e-15
10 3 3.0198066269804e-14
10 3 3.3750779948605e-14
10 3 6.3948846218409e-14
10 3 1.4033219031262e-13
10 3 1.7763568394003e-13
10 3 2.6822988274944e-13
10 3 3.1441516057384e-13
10 3 3.1619151741324e-13
10 3 3.7125857943465e-13
10 3 7.158718062783e-13
10 3 0.15374364503564
10 3 0.15454715442184
10 3 0.15454717722432
10 3 0.15466720599273
10 3 0.15473849285522
10 3 0.1547794697859
10 3 0.15506065191192
10 3 0.15506482909113
10 3 0.15560115356368
10 3 0.15563503926032
10 3 0.15580657504307
10 3 0.15642494834318
10 3 0.15665068243523
10 3 0.15700731323323
11 3 -2.4868995751604e-13
11 3 -1.6875389974302e-13
11 3 -9.5923269327614e-14
11 3 -1.7763568394003e-14
11 3 -1.2434497875802e-14
11 3 -1.2434497875802e-14
11 3 -8.8817841970013e-15
