# Kx Ky E
0 3 -19.964781478202
0 3 -19.859257747448
0 3 -19.683823006733
0 3 -19.439130005278
0 3 -19.126084010973
0 3 -18.745835013564
0 3 -18.299768724626
0 3 -17.789496978482
0 3 -17.21684810249
0 3 -16.583857712802
0 3 -15.892760218383
0 3 -15.145981110852
0 3 -14.346129917658
0 3 -13.495993537183
0 3 -12.598529582551
0 3 -12.451460588016
0 3 -11.656859346196
0 3 -10.6742600535
0 3 -9.6541561849968
0 3 -8.6001097981133
0 3 -7.5158099782735
0 3 -6.4050618710985
0 3 -5.2717765041231
0 3 -4.1199651242137
0 3 -2.9537532482015
0 3 -1.7775104083234
0 3 -0.59779079451817
0 3 -0.11812003797997
0 3 -0.043235291974163
0 3 -3.5527136788005e-15
1 3 -19.903634310361
1 3 -19.615481855869
1 3 -19.138362300089
1 3 -18.476929840819
1 3 -17.637611581849
1 3 -16.628531094243
1 3 -15.459422228456
1 3 -14.141535560475
1 3 -14.01151712786
1 3 -12.68753716872
1 3 -11.11139797233
1 3 -9.4282722530295
1 3 -7.6543667674611
1 3 -5.8068104404085
1 3 -3.9035750741152
1 3 -1.963888358844
1 3 -0.088557361735024
1 3 -0.020850880288409
1 3 -3.5527136788005e-15
1 3 5.3290705182008e-15
1 3 0.020850880288409
1 3 0.088557361735006
1 3 1.963888358844
1 3 3.9035750741152
1 3 5.8068104404085
1 3 7.6543667674611
1 3 9.4282722530295
1 3 11.11139797233
1 3 12.68753716872
1 3 14.01151712786
2 3 -19.964864327435
2 3 -19.859581679349
2 3 -19.684524619102
2 3 -19.440312284618
2 3 -19.127807744426
2 3 -18.748114402124
2 3 -18.302571535848
2 3 -17.792749060697
2 3 -17.220441592473
2 3 -16.587661873538
2 3 -15.896633600132
2 3 -15.149783669705
2 3 -14.349733850146
2 3 -13.499291862929
2 3 -12.601441869904
2 3 -12.334404219628
2 3 -11.659334358456
2 3 -10.676275430961
2 3 -9.6557155210801
2 3 -8.6012375828025
2 3 -7.5165448356292
2 3 -6.4054482274142
2 3 -5.2718539892787
2 3 -4.1197523974379
2 3 -2.9532122460265
2 3 -1.7764092651116
2 3 -0.59416987103674
2 3 -0.045076229891942
2 3 -0.037181606936826
2 3 1.7763568394003e-15
3 3 -19.964826284364
3 3 -19.859433488295
3 3 -19.684205686729
3 3 -19.439779815995
3 3 -19.127041126882
3 3 -18.747117259003
3 3 -18.301371305951
3 3 -17.791394255077
3 3 -17.218997148639
3 3 -16.586203231192
3 3 -15.895240236338
3 3 -15.148532844624
3 3 -14.348695235669
3 3 -13.726178622844
3 3 -13.498523580389
3 3 -12.600988286365
3 3 -11.659225826702
3 3 -10.676530052737
3 3 -9.6563430226895
3 3 -8.6022456099739
3 3 -7.5179486138642
3 3 -6.4072861918698
3 3 -5.274216604572
3 3 -4.1228464748907
3 3 -2.9575461771836
3 3 -1.7835825595827
3 3 -0.61536041994851
3 3 -0.1155765759043
3 3 -0.039688680324083
3 3 -3.5527136788005e-15
4 3 -19.903627439563
4 3 -19.615455543868
4 3 -19.13830718175
4 3 -18.476840968957
4 3 -17.637488572915
4 3 -16.628377282687
4 3 -15.459243154445
4 3 -14.141337205326
4 3 -13.861800740868
4 3 -12.687324264215
4 3 -11.111172474891
4 3 -9.4280316962939
4 3 -7.6541014798651
4 3 -5.806496384403
4 3 -3.9031482642507
4 3 -1.9630905214936
4 3 -0.082610798299147
4 3 -0.026009916347462
4 3 -5.3290705182008e-15
4 3 3.5527136788005e-15
4 3 0.026009916347459
4 3 0.082610798299143
4 3 1.9630905214936
4 3 3.9031482642507
4 3 5.8064963844029
4 3 7.6541014798651
4 3 9.4280316962939
4 3 11.111172474891
4 3 12.687324264215
4 3 13.861800740868
5 3 -19.964816899224
5 3 -19.859396293761
5 3 -19.684123269623
5 3 -19.439636361155
5 3 -19.126822883334
5 3 -18.746812855148
5 3 -18.300971898134
5 3 -17.790893508092
5 3 -17.218391058257
5 3 -16.585489805667
5 3 -15.894419054888
5 3 -15.147604505555
5 3 -14.347660694907
5 3 -13.497383362048
5 3 -12.599741517925
5 3 -11.657869005399
5 3 -10.675055370635
5 3 -9.6547359289892
5 3 -8.600480984491
5 3 -7.5159842480298
5 3 -6.4050506116077
5 3 -5.5264146161881
5 3 -5.2715836558572
5 3 -4.1195739484245
5 3 -2.9530922494075
5 3 -1.7763133065009
5 3 -0.59402980440028
5 3 -0.17060602180195
5 3 -0.098863977672545
5 3 -1.7763568394003e-15
6 3 -19.964739865042
6 3 -19.859094760475
6 3 -19.683468981725
6 3 -19.438531122962
6 3 -19.125206642392
6 3 -18.744668249197
6 3 -18.298324832482
6 3 -17.787809740705
6 3 -17.214969212233
6 3 -16.581851641491
6 3 -15.890698147677
6 3 -15.143934625871
6 3 -14.344165155228
6 3 -13.494166375422
6 3 -12.596882270634
6 3 -12.392908093399
6 3 -11.655418746807
6 3 -10.673037449753
6 3 -9.653148423338
6 3 -8.599301414777
6 3 -7.5151758811996
6 3 -6.4045700815068
6 3 -5.2713902904645
6 3 -4.1196432064033
6 3 -2.9534437903035
6 3 -1.7771153425917
6 3 -0.5967438511648
6 3 -0.12419677698071
6 3 -0.03216486349679
6 3 -1.7763568394003e-15
7 3 -19.937906786904
7 3 -19.752073043197
7 3 -19.443823413731
7 3 -19.015323843393
7 3 -18.469524666728
7 3 -17.810092060668
7 3 -17.041337546464
7 3 -16.168155252293
7 3 -15.195974278755
