# Kx Ky E
0 15 7.648582089459e-06
0 15 1.0042361413554e-05
0 15 1.0345005971857e-05
0 15 1.0728311798047e-05
0 15 1.1079032294248e-05
0 15 1.1309993745101e-05
0 15 1.1821331669992e-05
0 15 1.2176832408173e-05
0 15 1.2848214137051e-05
0 15 1.3057287533869e-05
0 15 1.3376638865026e-05
0 15 1.3792240240562e-05
0 15 1.4251348861904e-05
0 15 1.437537198079e-05
0 15 1.5102221142982e-05
0 15 1.5423625187694e-05
0 15 1.5808090997993e-05
0 15 1.6197621500069e-05
0 15 1.6526948297013e-05
0 15 1.7268868056419e-05
0 15 1.7533903518441e-05
0 15 1.7817543188414e-05
0 15 1.8052984843919e-05
0 15 1.8336914223482e-05
0 15 1.8899245459281e-05
0 15 1.8967328454522e-05
0 15 1.9256324428341e-05
0 15 1.9341466925837e-05
0 15 1.9553022895025e-05
0 15 1.982477898288e-05
