# Kx Ky E
0 9 7.6485821409733e-06
0 9 1.0042361267892e-05
0 9 1.0345005701851e-05
0 9 1.0728311305996e-05
0 9 1.10790322978e-05
0 9 1.1310000463283e-05
0 9 1.1821305500703e-05
0 9 1.2177203920771e-05
0 9 1.2847410127748e-05
0 9 1.2993725285071e-05
0 9 1.3343917226294e-05
0 9 1.3928265646612e-05
0 9 1.4219123823267e-05
0 9 1.445611556683e-05
0 9 1.4898057731472e-05
0 9 1.5340233643357e-05
0 9 1.5780134775767e-05
0 9 1.6212731303256e-05
0 9 1.6499093513644e-05
0 9 1.7229629580839e-05
0 9 1.7566443505146e-05
0 9 1.7832298485843e-05
0 9 1.8013872152167e-05
0 9 1.8332110958141e-05
0 9 1.8899372687287e-05
0 9 1.9252718471918e-05
0 9 1.9341376635396e-05
0 9 1.9545517373487e-05
0 9 1.955209512694e-05
0 9 1.9824778680899e-05
