# Kx Ky E
0 3 -0.008333333251727
0 3 -0.0083333332263997
0 3 -0.0083333332194098
0 3 -0.0083333332178466
0 3 -0.0083333332086344
0 3 -0.0083333332025486
0 3 -0.008333333194825
0 3 -0.0083333331899897
0 3 -0.0083333331811239
0 3 -0.008333333172466
0 3 -0.0083333331679594
0 3 -0.0083333331597295
0 3 -0.0083333331516009
0 3 -0.0083333331449111
0 3 -0.0083333331403779
0 3 -0.0083333331301638
0 3 -0.0083333331274389
0 3 -0.0083333331250959
0 3 -0.0083333331214597
0 3 -0.0083333331166209
0 3 -0.005259059603425
0 3 -0.0052586347546075
0 3 -0.0052586137381141
0 3 -0.0052581713803121
0 3 -0.0052430418246949
0 3 -0.0052413777819336
0 3 -0.0052410173402286
0 3 -0.0052401433549107
0 3 -0.005239526431339
0 3 -0.0052333349323934
