# Kx Ky E
0 0 -1.6541140128045
0 0 -1.6541140128045
0 0 -1.6419979043595
0 0 -1.6338863547959
0 0 -1.6151992064685
0 0 -1.6151992064685
0 0 -1.6054640460893
0 0 -1.6054640460893
0 0 -1.6042130835492
0 0 -1.6042130835492
0 0 -1.5971075847633
0 0 -1.5971075847633
0 0 -1.5830185822483
0 0 -1.5802384752876
0 0 -1.5802384752876
0 0 -1.577012753509
0 0 -1.577012753259
0 0 -1.5696436137088
0 0 -1.5696425560429
0 0 -1.561167339163
0 0 -1.5598819975322
0 0 -1.5596836123374
0 0 -1.558970048886
0 0 -1.5549791987991
0 0 -1.5512495804276
0 0 -1.5505612875588
0 0 -1.5502144548986
0 0 -1.5468533197497
0 0 -1.5451051993647
0 0 -1.5439232828568
