# Kx Ky E
0 3 -1.3711444004959
0 3 -1.3081349556953
0 3 -1.2910805115049
0 3 -1.2910805115049
0 3 -1.2570861257687
0 3 -1.252203546058
0 3 -1.2522035460579
0 3 -1.2402223393541
0 3 -1.2397176676226
0 3 -1.2397176676226
0 3 -1.2338435538402
0 3 -1.2338435538401
0 3 -1.2329273464607
0 3 -1.2314449497727
0 3 -1.2241023643281
0 3 -1.2241023643281
0 3 -1.215270119794
0 3 -1.2152697946447
0 3 -1.2149652883172
0 3 -1.2106750082637
0 3 -1.2063182670493
0 3 -1.204654813338
0 3 -1.1949981191765
0 3 -1.1949248946725
0 3 -1.1905800563801
0 3 -1.1880214222938
0 3 -1.1815079111242
0 3 -1.1813238790779
0 3 -1.1787451383684
0 3 -1.1698864111329
0 3 -1.3060017075655
0 3 -1.3060017075655
0 3 -1.2936832224427
0 3 -1.2645009602206
0 3 -1.2645009602205
0 3 -1.252203546058
0 3 -1.2362832242961
0 3 -1.2362832242958
0 3 -1.2338435538401
0 3 -1.2284298480562
0 3 -1.2241023643281
0 3 -1.2222772431881
0 3 -1.2222772431862
0 3 -1.2187278606089
0 3 -1.2171284720474
0 3 -1.2171284673122
0 3 -1.2122378883843
0 3 -1.2122378614682
0 3 -1.2036734547629
0 3 -1.2024524555288
0 3 -1.1984168094506
0 3 -1.1961069904967
0 3 -1.1949248946725
0 3 -1.1838239542638
0 3 -1.1813545932828
0 3 -1.1813238790776
0 3 -1.1806804859704
0 3 -1.1716167917544
0 3 -1.171603927119
0 3 -1.1666253914846
0 3 -1.3062377229974
0 3 -1.3062377229974
0 3 -1.3060017075655
0 3 -1.3060017075655
0 3 -1.2910805115049
0 3 -1.2863462834759
0 3 -1.2397176676226
0 3 -1.2382296552429
0 3 -1.2382296552429
0 3 -1.223764276897
0 3 -1.2222772431882
0 3 -1.2222772431881
0 3 -1.2171298540551
0 3 -1.2171298385591
0 3 -1.215270119794
0 3 -1.2142265633793
0 3 -1.2122378883843
0 3 -1.2103192643639
0 3 -1.2098298393939
0 3 -1.2046548133379
0 3 -1.2024524555288
0 3 -1.1949981191765
0 3 -1.1932951179183
0 3 -1.1895347450931
0 3 -1.1811800374813
0 3 -1.1806804859704
0 3 -1.1754533957489
0 3 -1.1718637328557
0 3 -1.1716167917715
0 3 -1.1698864111328
0 3 -1.3081349556953
0 3 -1.2936832224427
0 3 -1.2936832224427
0 3 -1.2863462834759
0 3 -1.2863462834759
0 3 -1.2782676472003
0 3 -1.2471902949104
0 3 -1.2402223393541
0 3 -1.2284298480564
0 3 -1.2284298480562
0 3 -1.2245029550828
0 3 -1.223764276897
0 3 -1.2237642762087
0 3 -1.218727860609
0 3 -1.2187144346712
0 3 -1.2149652883172
0 3 -1.2142265633793
0 3 -1.2103192643639
0 3 -1.2063182670493
0 3 -1.2036734547629
0 3 -1.2014445182623
0 3 -1.200692429919
0 3 -1.1895347450931
0 3 -1.1879410322729
0 3 -1.1838239542638
0 3 -1.1815079111242
0 3 -1.18122073564
0 3 -1.1787451383684
0 3 -1.1754533957489
0 3 -1.1716039271227
0 3 -1.3062377229975
0 3 -1.3062377229974
0 3 -1.3060017075655
0 3 -1.3060017075655
0 3 -1.2910805115049
0 3 -1.2863462834759
0 3 -1.2397176676226
0 3 -1.2382296552429
0 3 -1.2382296552428
0 3 -1.223764276897
0 3 -1.2222772431881
0 3 -1.2222772431628
0 3 -1.2171298540551
0 3 -1.217129792701
0 3 -1.2152701197941
0 3 -1.2142265633794
0 3 -1.2122378883843
0 3 -1.2103192643639
0 3 -1.2098298393939
0 3 -1.204654813338
0 3 -1.2024524555288
0 3 -1.1949981191765
0 3 -1.1932951179183
0 3 -1.1895347450931
0 3 -1.1811800374813
0 3 -1.1806804859704
0 3 -1.175453395749
0 3 -1.1718637328558
0 3 -1.1716167917716
0 3 -1.1698864111329
0 3 -1.3060017075656
0 3 -1.3060017075655
0 3 -1.2936832224427
0 3 -1.2645009602205
0 3 -1.2645009602205
0 3 -1.252203546058
0 3 -1.2362832242961
0 3 -1.2362832242961
0 3 -1.2338435538401
0 3 -1.2284298480562
0 3 -1.2241023643281
0 3 -1.2222772431881
0 3 -1.222277243186
0 3 -1.218727860609
0 3 -1.2171284720474
0 3 -1.2171284674939
0 3 -1.2122378883843
0 3 -1.2121850622884
0 3 -1.2036734547628
0 3 -1.2024524555288
0 3 -1.1961069904966
0 3 -1.1949248946725
0 3 -1.1838239542638
0 3 -1.1813545932828
0 3 -1.1813238790779
0 3 -1.1806804859704
0 3 -1.1716167917709
0 3 -1.1716039271049
0 3 -1.1666253914847
0 3 -1.1651209770895
0 3 -1.3711444004959
0 3 -1.3081349556953
0 3 -1.2910805115049
0 3 -1.2910805115049
0 3 -1.2570861257687
0 3 -1.2522035460581
0 3 -1.252203546058
0 3 -1.2402223393541
0 3 -1.2397176676226
0 3 -1.2397176676226
0 3 -1.2338435538401
0 3 -1.2338435538401
0 3 -1.2329273464607
0 3 -1.2314449497727
0 3 -1.2241023643281
0 3 -1.224102364328
0 3 -1.215270119794
0 3 -1.2152563214548
0 3 -1.2149652883172
0 3 -1.2106750082637
0 3 -1.2063182670493
0 3 -1.2046548133379
0 3 -1.1969997316776
0 3 -1.1949981191765
0 3 -1.1949248946725
0 3 -1.1905800563801
0 3 -1.1815079111242
0 3 -1.1813238790779
0 3 -1.1787451383685
0 3 -1.1698864111329
0 3 -1.3060017075655
0 3 -1.3060017075655
0 3 -1.2936832224427
0 3 -1.2645009602206
0 3 -1.2645009602205
0 3 -1.252203546058
0 3 -1.2362832242961
0 3 -1.2362832242961
0 3 -1.2338435538402
0 3 -1.2284298480562
0 3 -1.2241023643281
0 3 -1.2222772431881
0 3 -1.2222772431881
0 3 -1.218727860609
0 3 -1.2171284720474
0 3 -1.217128471988
0 3 -1.2122378883843
0 3 -1.2122378875786
0 3 -1.2036734547628
0 3 -1.2024524555288
0 3 -1.1961069904967
0 3 -1.1949248946725
0 3 -1.1875363355652
0 3 -1.1838239542637
0 3 -1.1813545932827
0 3 -1.1813238790778
0 3 -1.1806804859704
0 3 -1.1716167917713
0 3 -1.1716039271182
0 3 -1.1666253914848
0 3 -1.3062377229974
0 3 -1.3062377229974
0 3 -1.3060017075655
0 3 -1.3060017075655
0 3 -1.2910805115049
0 3 -1.2863462834759
0 3 -1.2397176676226
0 3 -1.2382296552429
0 3 -1.2382296552429
0 3 -1.223764276897
0 3 -1.2222772431881
0 3 -1.222277243188
0 3 -1.2171298540551
0 3 -1.2171278795021
0 3 -1.215270119794
0 3 -1.2142265633793
0 3 -1.2122378883843
0 3 -1.2103192643639
0 3 -1.2098298393939
0 3 -1.206902148914
0 3 -1.204654813338
0 3 -1.2024524555288
0 3 -1.1949981191765
0 3 -1.1932951179183
0 3 -1.1895347450931
0 3 -1.1811800374814
0 3 -1.1806804859704
0 3 -1.175453395749
0 3 -1.1718637328558
0 3 -1.1716167917716
0 3 -1.3081349556953
0 3 -1.2936832224427
0 3 -1.2936832224425
0 3 -1.286346283476
0 3 -1.2863462834759
0 3 -1.2782676472003
0 3 -1.2471902949104
0 3 -1.2402223393541
0 3 -1.2284298480562
0 3 -1.2284298480558
0 3 -1.2245029550828
0 3 -1.223764276897
0 3 -1.2237642764688
0 3 -1.218727860609
0 3 -1.2187246565575
0 3 -1.2149652883171
0 3 -1.2142265633793
0 3 -1.2103192643639
0 3 -1.2063182670493
0 3 -1.2036734547628
0 3 -1.2031171212861
0 3 -1.200692429919
0 3 -1.1895347450931
0 3 -1.1879410322728
0 3 -1.1838239542637
0 3 -1.1815079111243
0 3 -1.18122073564
0 3 -1.1787451383683
0 3 -1.1754533957489
0 3 -1.1716039271227
0 3 -1.3062377229974
0 3 -1.3062377229974
0 3 -1.3060017075656
0 3 -1.3060017075655
0 3 -1.2910805115049
0 3 -1.2863462834759
0 3 -1.2397176676226
0 3 -1.2382296552429
0 3 -1.2382296552429
