# Kx Ky E
0 3 -1.3711444004959
0 3 -1.3081349556953
0 3 -1.2910805115049
0 3 -1.2910805115048
0 3 -1.2570861257687
0 3 -1.2522035460585
0 3 -1.252203546058
0 3 -1.2402223393541
0 3 -1.2397176676227
0 3 -1.2397176676226
0 3 -1.2338435538403
0 3 -1.2338435538402
0 3 -1.2329273464607
0 3 -1.2314449497728
0 3 -1.2241023643281
0 3 -1.224102364328
0 3 -1.2152701197941
0 3 -1.2149652883172
0 3 -1.2139464112663
0 3 -1.2106750082637
0 3 -1.2063182670494
0 3 -1.204654813338
0 3 -1.1966297898087
0 3 -1.1949981191765
0 3 -1.1949248946723
0 3 -1.1905800563801
0 3 -1.1815079111243
0 3 -1.1813238790779
0 3 -1.1787451383684
0 3 -1.1698864111329
