# Kx Ky E
0 3 -1.3365781269223
0 3 -1.2645668078755
0 3 -1.2439224136873
0 3 -1.2439224136873
0 3 -1.1980554972907
0 3 -1.1944547911219
0 3 -1.1944547911219
0 3 -1.1843752326159
0 3 -1.1843752326159
0 3 -1.1839985374317
0 3 -1.1808087141539
0 3 -1.1805388186416
0 3 -1.17909454506
0 3 -1.17909454506
0 3 -1.1707778981098
0 3 -1.1707778981097
0 3 -1.1602046446071
0 3 -1.1602046445744
0 3 -1.1524281319559
0 3 -1.1483830527177
0 3 -1.1482173282832
0 3 -1.1431973403058
0 3 -1.1377502164639
0 3 -1.1338946185224
0 3 -1.1337700746923
0 3 -1.1299434643438
0 3 -1.1176334542672
0 3 -1.1162125683157
0 3 -1.1140921928843
0 3 -1.1041136241029
