# Kx Ky E
0 3 -1.3711443837442
0 3 -1.3081349399973
0 3 -1.2910804959082
0 3 -1.291080495908
0 3 -1.2570861102716
0 3 -1.252203530846
0 3 -1.2522035308458
0 3 -1.2402223246902
0 3 -1.2397176529845
0 3 -1.2397176529845
0 3 -1.2338435393304
0 3 -1.2338435393302
0 3 -1.2329273322754
0 3 -1.2314449355974
0 3 -1.2241023503417
0 3 -1.2241023503417
0 3 -1.2152701058026
0 3 -1.2152700990969
0 3 -1.2149652737935
0 3 -1.2106749938669
0 3 -1.2063182530968
0 3 -1.2046547990519
0 3 -1.1949981051538
0 3 -1.1949248807631
0 3 -1.1942870416038
0 3 -1.1905800424384
0 3 -1.1815078970388
0 3 -1.1813238652099
0 3 -1.1787451248839
0 3 -1.1698863975165
