# Kx Ky E
0 3 -1.0273896058489
0 3 -0.87984810601788
0 3 -0.8308790664307
0 3 -0.83087906643068
0 3 -0.73963233576672
0 3 -0.73653739397985
0 3 -0.73653739397983
0 3 -0.73348843899817
0 3 -0.73256234588761
0 3 -0.73256234588758
0 3 -0.73243687677596
0 3 -0.70440875617925
0 3 -0.70160795893137
0 3 -0.70160795893136
0 3 -0.66185455786969
0 3 -0.66185455786968
0 3 -0.65757939882232
0 3 -0.65757939882224
0 3 -0.60412306694903
0 3 -0.60356919212145
0 3 -0.6034455624729
0 3 -0.60074870733798
0 3 -0.59424038375651
0 3 -0.58936582913385
0 3 -0.58055462586295
0 3 -0.56741451068436
0 3 -0.55795504651141
0 3 -0.546503261919
0 3 -0.54016023597909
0 3 -0.53628448704846
