# Kx Ky E
0 0 -1.6909546393847
0 0 -1.6215776381724
0 0 -1.6215776381724
0 0 -1.6106749912349
0 0 -1.6106749912349
0 0 -1.5789066847386
0 0 -1.5789066847386
0 0 -1.5645096383319
0 0 -1.5587643450217
0 0 -1.5587643446445
0 0 -1.556395090537
0 0 -1.5563866755745
0 0 -1.5553110998827
0 0 -1.5549140041056
0 0 -1.5462727188565
0 0 -1.5459153307791
0 0 -1.5454228935029
0 0 -1.5376834889024
0 0 -1.5374706281328
0 0 -1.5366359733234
0 0 -1.5342855732181
0 0 -1.5331474733784
0 0 -1.5323501784885
0 0 -1.5309886816226
0 0 -1.5306605690218
0 0 -1.5273816610375
0 0 -1.5220832475129
0 0 -1.5159872550865
0 0 -1.5130876010018
0 0 -1.5123318956449
