# Kx Ky E
0 4 -0.011665855942136
0 4 -0.011665487895298
0 4 -0.011665456610158
0 4 -0.011665456280324
0 4 -0.011665456192723
0 4 -0.01166545532033
0 4 -0.01166545508535
0 4 -0.011665454934843
0 4 -0.011665454315404
0 4 -0.011665453226316
0 4 -0.011665453213224
0 4 -0.011665453167316
0 4 -0.011665452684186
0 4 -0.011665452292204
0 4 -0.011665452168186
0 4 -0.011665451638889
0 4 -0.011665450601651
0 4 -0.011665450251691
0 4 -0.011665449067864
0 4 -0.011665449026145
0 4 -0.011665448850167
0 4 -0.011665448534202
0 4 -0.011665448372659
0 4 -0.011665447687122
0 4 -0.011665447552263
0 4 -0.011665446558244
0 4 -0.011665446081873
0 4 -0.011665445880826
0 4 -0.011665445846456
0 4 -0.011665445797803
