# Kx Ky E
0 3 -1.3711444004959
0 3 -1.3081349556953
0 3 -1.2910805115049
0 3 -1.2910805115049
0 3 -1.2570861257687
0 3 -1.252203546058
0 3 -1.2522035460579
0 3 -1.2402223393541
0 3 -1.2397176676226
0 3 -1.2397176676226
0 3 -1.2338435538402
0 3 -1.2338435538401
0 3 -1.2329273464607
0 3 -1.2314449497727
0 3 -1.2241023643281
0 3 -1.2241023643281
0 3 -1.215270119794
0 3 -1.2152697946447
0 3 -1.2149652883172
0 3 -1.2106750082637
0 3 -1.2063182670493
0 3 -1.204654813338
0 3 -1.1949981191765
0 3 -1.1949248946725
0 3 -1.1905800563801
0 3 -1.1880214222938
0 3 -1.1815079111242
0 3 -1.1813238790779
0 3 -1.1787451383684
0 3 -1.1698864111329
