# Kx Ky E
0 0 -1.6909546620714
0 0 -1.6215776596253
0 0 -1.6215776596253
0 0 -1.6106750127364
0 0 -1.6106750127364
0 0 -1.5789067059449
0 0 -1.5789067059448
0 0 -1.5645096593009
0 0 -1.5587643655988
0 0 -1.5587643652078
0 0 -1.5563951112374
0 0 -1.5563914233761
0 0 -1.5553111200317
0 0 -1.5553089967629
0 0 -1.5462727390195
0 0 -1.5459153511647
0 0 -1.5454229138423
0 0 -1.5376835086178
0 0 -1.5374706480388
0 0 -1.5366359931965
0 0 -1.5342855927609
0 0 -1.5331474931849
0 0 -1.5323501979197
0 0 -1.5309887011155
0 0 -1.530660588695
0 0 -1.5273816811648
0 0 -1.5220832668681
0 0 -1.5159872749168
0 0 -1.5130876205403
0 0 -1.5123319152686
