# Kx Ky E
0 4 -2.0201490136484
0 4 -1.9546545791597
0 4 -1.9546545791597
0 4 -1.9382652599988
0 4 -1.9378082689187
0 4 -1.9378082689187
0 4 -1.9043277655537
0 4 -1.9043277655537
0 4 -1.8964264216863
0 4 -1.8963691047277
0 4 -1.8901391930534
0 4 -1.8901391930534
0 4 -1.8853389363375
0 4 -1.8853389363374
0 4 -1.8812351380627
0 4 -1.881235085796
0 4 -1.8806415311792
0 4 -1.8803106460225
0 4 -1.8786072604175
0 4 -1.8767377307309
0 4 -1.8757598129703
0 4 -1.8756893680225
0 4 -1.8747434931198
0 4 -1.8731742887161
0 4 -1.8706540420082
0 4 -1.8692353457628
0 4 -1.8644132774213
0 4 -1.8640722026319
0 4 -1.8636562486434
0 4 -1.8627542830497
