# Kx Ky E
0 0 -2.3540697840249
0 0 -2.2956176285101
0 0 -2.2956176285101
0 0 -2.2694666850311
0 0 -2.2694666850311
0 0 -2.2589362140658
0 0 -2.2589362140658
0 0 -2.2362537299638
0 0 -2.2341534497982
0 0 -2.2341534497982
0 0 -2.2327329319716
0 0 -2.227924417525
0 0 -2.2279244166119
0 0 -2.2265104988292
0 0 -2.2265088899148
0 0 -2.2224404450268
0 0 -2.2212751673127
0 0 -2.2203175552479
0 0 -2.2186849822686
0 0 -2.2170154767592
0 0 -2.216303873461
0 0 -2.2142443212094
0 0 -2.2137723888699
0 0 -2.2124117428105
0 0 -2.21226697444
0 0 -2.2118762865173
0 0 -2.2118184251858
0 0 -2.2097483393675
0 0 -2.2082421546827
0 0 -2.2069399953121
