# Ky E
3 -425.10569606604
3 -24.10373792413
3 -24.103630544962
3 -24.103451580056
3 -24.103201029978
3 -24.102878895515
3 -24.102485177682
3 -24.102019877719
3 -24.101482997091
3 -24.100874537489
3 -24.100194500828
3 -24.09944288925
3 -24.098619705121
3 -24.097724951034
3 -24.096758629806
3 -24.09572074448
3 -24.094611298323
3 -24.093430294831
3 -24.09217773772
3 -24.090853630936
3 -24.089457978647
3 -24.087990785249
3 -24.086452055361
3 -24.084841793829
3 -24.083160005723
3 -24.081406696338
3 -24.079581871196
3 -24.077685536043
3 -24.07571769685
3 -24.073678359813
3 -23.859363690829
3 -23.859261735937
3 -23.859091811115
3 -23.85885391636
3 -23.858548051672
3 -23.858174217051
3 -23.857732412501
3 -23.857222638032
3 -23.856644893662
3 -23.855999179423
3 -23.855285495358
3 -23.854503841532
3 -23.853654218029
3 -23.852736624962
3 -23.851751062473
3 -23.850697530742
3 -23.849576029989
3 -23.848386560479
3 -23.84712912253
3 -23.845803716517
3 -23.844410342879
3 -23.842949002123
3 -23.841419694832
3 -23.839822421671
3 -23.838157183391
3 -23.836423980841
3 -23.834622814966
3 -23.832753686824
3 -23.830816597581
3 -23.828811548526
3 -36.883343092023
3 -23.856823523318
3 -23.856716866192
3 -23.85653910469
3 -23.856290239375
3 -23.855970271033
3 -23.855579200678
3 -23.855117029546
3 -23.854583759099
3 -23.853979391025
3 -23.853303927235
3 -23.852557369866
3 -23.851739721281
3 -23.850850984065
3 -23.84989116103
3 -23.848860255212
3 -23.847758269874
3 -23.8465852085
3 -23.845341074803
3 -23.844025872717
3 -23.842639606404
3 -23.841182280249
3 -23.839653898862
3 -23.838054467078
3 -23.836383989958
3 -23.834642472784
3 -23.832829921068
3 -23.830946340542
3 -23.828991737165
3 -23.826966117121
3 -29.408793541716
3 -23.831046739708
3 -23.830940112399
3 -23.830762400594
3 -23.830513604863
3 -23.830193726001
3 -23.829802765029
3 -23.829340723197
3 -23.828807601982
3 -23.828203403086
3 -23.827528128442
3 -23.826781780206
3 -23.825964360763
3 -23.825075872727
3 -23.824116318934
3 -23.823085702453
3 -23.821984026576
3 -23.820811294823
3 -23.819567510942
3 -23.818252678907
3 -23.816866802919
3 -23.815409887407
3 -23.813881937025
3 -23.812282956656
3 -23.810612951408
3 -23.808871926617
3 -23.807059887846
3 -23.805176840885
3 -23.80322279175
3 -23.801197746683
3 -23.626147872628
3 -23.626046571419
3 -23.62587773642
3 -23.625641368155
3 -23.625337467357
3 -23.62496603497
3 -23.624527072145
3 -23.624020580245
3 -23.623446560841
3 -23.622805015713
3 -23.622095946853
3 -23.62131935646
3 -23.620475246944
3 -23.619563620921
3 -23.61858448122
3 -23.617537830879
3 -23.616423673142
3 -23.615242011466
3 -23.613992849513
3 -23.612676191159
3 -23.611292040484
3 -23.609840401781
3 -23.608321279548
3 -23.606734678496
3 -23.60508060354
3 -23.603359059808
3 -23.601570052633
3 -23.599713587559
3 -23.597789670337
3 -23.595798306927
3 -23.4459234703
3 -23.445822817279
3 -23.445655062584
3 -23.445420206725
3 -23.445118250417
3 -23.444749194578
3 -23.444313040331
3 -23.443809789002
3 -23.443239442123
3 -23.442602001429
3 -23.441897468858
3 -23.441125846554
3 -23.440287136863
3 -23.439381342337
3 -23.438408465732
3 -23.437368510007
3 -23.436261478325
3 -23.435087374054
3 -23.433846200765
3 -23.432537962233
3 -23.431162662439
3 -23.429720305566
3 -23.428210896
3 -23.426634438334
3 -23.424990937363
3 -23.423280398086
