# Kx Ky E
3 3 -1.3394987365799
3 3 -1.3179877808092
3 3 -1.3108764767961
3 3 -1.2996651015838
3 3 -1.2996651015837
3 3 -1.2831853796988
3 3 -1.2821302035051
3 3 -1.282130203505
3 3 -1.2800634866949
3 3 -1.2667929585678
3 3 -1.2667929527597
3 3 -1.2581748341653
3 3 -1.2551321865159
3 3 -1.2539561670052
3 3 -1.2535776451025
3 3 -1.2407701858084
3 3 -1.2386679262837
3 3 -1.2386169835602
3 3 -1.233834731376
3 3 -1.2328414254923
3 3 -1.2276506840097
3 3 -1.2261209229851
3 3 -1.2203392414793
3 3 -1.2171258972992
3 3 -1.2145902467736
3 3 -1.2075126548504
3 3 -1.2025438972694
3 3 -1.2013358591756
3 3 -1.1938526736278
3 3 -1.1909997545043
