# Ky E
3 -372.23950423599
3 -19.929388762132
3 -19.92929452633
3 -19.929137466989
3 -19.928917584604
3 -19.928634879867
3 -19.928289353669
3 -19.927881007098
3 -19.927409841439
3 -19.926875858176
3 -19.92627905899
3 -19.925619445761
3 -19.924897020566
3 -19.924111785679
3 -19.923263743573
3 -19.922352896919
3 -19.921379248584
3 -19.920342801635
3 -19.919243559334
3 -19.918081525144
3 -19.916856702723
3 -19.915569095929
3 -19.914218708815
3 -19.912805545634
3 -19.911329610835
3 -19.909790909066
3 -19.908189445173
3 -19.906525224198
3 -19.90479825138
3 -19.90300853216
3 -17.923810078154
3 -17.923726025252
3 -17.923585937383
3 -17.923389815001
3 -17.92313765874
3 -17.922829469416
3 -17.922465248025
3 -17.922044995745
3 -17.921568713936
3 -17.921036404137
3 -17.920448068071
3 -17.919803707642
3 -17.919103324932
3 -17.918346922209
3 -17.917534501919
3 -17.916666066692
3 -17.915741619336
3 -17.914761162845
3 -17.91372470039
3 -17.912632235327
3 -17.911483771193
3 -17.910279311704
3 -17.909018860761
3 -17.907702422445
3 -17.906330001019
3 -17.90490160093
3 -17.903417226802
3 -17.901876883447
3 -17.900280575854
3 -17.898628309197
3 -29.560216278452
3 -18.05206460783
3 -18.051976238932
3 -18.051828957745
3 -18.051622764736
3 -18.051357660558
3 -18.051033646049
3 -18.050650722234
3 -18.050208890325
3 -18.04970815172
3 -18.049148508004
3 -18.048529960947
3 -18.047852512507
3 -18.047116164827
3 -18.046320920237
3 -18.045466781254
3 -18.04455375058
3 -18.043581831104
3 -18.042551025902
3 -18.041461338235
3 -18.040312771551
3 -18.039105329485
3 -18.037839015857
3 -18.036513834674
3 -18.035129790128
3 -18.0336868866
3 -18.032185128655
3 -18.030624521044
3 -18.029005068706
3 -18.027326776765
3 -22.062213426838
3 -17.895568852819
3 -17.895481019899
3 -17.895334632012
3 -17.895129689627
3 -17.894866193403
3 -17.894544144184
3 -17.894163543003
3 -17.893724391081
3 -17.893226689828
3 -17.892670440839
3 -17.892055645899
3 -17.89138230698
3 -17.890650426242
3 -17.889860006033
3 -17.889011048888
3 -17.88810355753
3 -17.887137534869
3 -17.886112984006
3 -17.885029908225
3 -17.883888311001
3 -17.882688195995
3 -17.881429567057
3 -17.880112428223
3 -17.878736783718
3 -17.877302637954
3 -17.875809995529
3 -17.874258861232
3 -17.872649240036
3 -17.870981137103
3 -16.947754710895
3 -16.947673576879
3 -16.947538353804
3 -16.947349042097
3 -16.947105642358
3 -16.946808155357
3 -16.946456582033
3 -16.946050923498
3 -16.945591181036
3 -16.945077356101
3 -16.944509450317
3 -16.943887465481
3 -16.943211403559
3 -16.94248126669
3 -16.941697057183
3 -16.940858777517
3 -16.939966430346
3 -16.939020018489
3 -16.938019544942
3 -16.936965012869
3 -16.935856425605
3 -16.934693786656
3 -16.9334770997
3 -16.932206368587
3 -16.930881597335
3 -16.929502790136
3 -16.928069951352
3 -16.926583085515
3 -16.925042197329
3 -16.92344729167
3 -14.506288835016
3 -13.977829350835
3 -13.119234928177
3 -11.963041262074
3 -10.55739830423
3 -8.9622823296523
3 -7.2200639318636
3 -7.1368730818463
3 -5.3490528474372
3 -3.5056848792731
3 -2.2990770617175
3 -0.72256983590746
3 -0.048281395312799
3 0.58024843052092
3 0.88078680834704
3 1.0703562080325
3 1.260078779212
3 1.5165896419734
3 1.944881947216
3 2.748122722521
3 2.9216954967985
3 3.0324071482604
3 3.8563243917294
3 4.2761243566057
3 4.6308397958086
3 4.7073792853777
3 5.094434254457
3 6.5235244370166
3 8.1135654897169
3 9.108448799003
3 -9.4415253689638
3 -7.3275083496873
3 -4.5736357726193
3 -1.6780937795665
3 0.074759839149051
3 0.81440779461692
3 1.0555468409334
3 1.2487456402125
3 1.2711067602339
3 1.2890414349611
3 1.4755370883603
3 1.5409265531589
3 1.629862615149
3 2.2842175858009
3 2.3052213581265
3 2.845361355797
3 2.9588392317372
3 3.0006784591699
3 3.9411880111599
3 4.218423907986
3 4.5665254832769
3 4.8554915807159
3 4.983096320167
3 5.2664658664204
3 5.3838727827958
3 5.6986229305224
3 5.7220585629194
3 5.9302921344968
3 8.0293540852879
3 9.999691436752
3 0.51424271205691
3 0.5596345281469
3 0.72093719137151
3 1.0132499872609
3 1.2063855617243
3 1.2579199853228
3 1.3115557009884
3 1.379141666131
3 1.6042844735432
3 1.7993714896136
3 1.9467924470693
3 1.9531768244366
3 2.6031276150653
3 2.6419181681962
3 2.7584787709907
3 2.8436168761582
3 2.9211173599471
3 3.5903300533276
3 3.8610380722489
3 4.3064701019699
3 4.5067004026569
3 4.5750482976124
3 4.7758640327439
3 4.7999747283701
3 4.9687203938142
3 5.5305280483233
3 5.7457932870747
3 6.0229693727136
3 6.2730363716902
3 6.3030701885857
3 0.40559335715109
3 0.40577250742894
3 0.43109409884703
3 0.46109424769789
3 0.46123754754393
3 0.5287804588785
3 0.72356541807373
3 0.82810782565586
3 0.82825555091434
3 0.90084384143747
3 0.90098526464983
3 0.95089998490774
3 0.98529910556761
3 0.98949046200331
3 1.0007991969652
3 1.0231812286099
3 1.0371637343842
3 1.1649625838213
3 1.1812969913631
3 1.1980911639697
3 1.231317822414
3 1.2707084551651
3 1.2794078600802
3 1.3167988068465
3 1.3236039127552
3 1.3370060787381
3 1.4343739989133
3 1.4655151659586
3 1.4699856932484
3 1.5138833723295
3 0.39056666109465
3 0.41281849720715
3 0.41285666198486
3 0.43096408698541
3 0.43097971689313
3 0.47352198408143
3 0.72371199591497
3 0.82485146483864
3 0.82490714237099
3 0.9507610122602
3 0.95133120283376
3 0.95874618053063
3 0.9692230215463
3 0.98962397088377
3 1.1119000930453
3 1.1439452565889
3 1.2231691848832
3 1.231439906209
3 1.2522469207392
3 1.2794387459379
3 1.2928499313499
3 1.2967899637479
3 1.3021556375716
3 1.3542763681863
3 1.3585898015027
3 1.373740660942
3 1.4505737825689
3 1.4689887459232
3 1.5542946308813
3 1.5586276639322
3 0.4056820012556
3 0.40570011303478
3 0.43110792789541
3 0.46113951774405
3 0.46119642311756
3 0.52869047250917
3 0.72354821889012
3 0.82815466356046
3 0.90082698309434
3 0.9009471358446
3 0.95071735257364
3 0.98536855243005
3 0.98952334353958
3 1.0009293222918
3 1.0233243171767
3 1.0372121380162
3 1.1650970364249
3 1.1813505708605
3 1.2315508356492
3 1.2707923059012
3 1.2793754633748
3 1.3168359989184
3 1.3234364103213
3 1.337069799167
3 1.4344760728403
3 1.4656438687485
3 1.4700888396805
3 1.5135787592135
3 1.5194618360834
3 1.5418490155128
3 -7.6036843488899
3 -6.9191525664821
3 -5.8811508319804
3 -4.5864218409062
3 -3.088621442611
3 -1.4785139633685
3 -0.27232182102197
3 0.51887494170879
3 0.55878568175107
3 0.58087403608871
3 0.70504148074681
3 0.82168741734226
3 1.0409699862062
3 1.153668059654
3 1.260653864115
3 1.3249596300895
3 1.4056398546831
3 1.7241269911153
3 1.7967850401138
3 1.9271146718247
3 1.9561649515622
3 2.2682300922584
3 2.3529890825867
3 2.5298069119029
3 2.7132364199443
3 2.8388763433525
3 3.3480817130725
3 3.6040858941361
3 3.7816667359081
3 4.3165342168125
3 -9.8848023672561
3 -9.7943510538699
3 -9.6442805094919
3 -9.4355925016526
3 -9.1696618612093
3 -8.8482393131191
3 -8.4734911843538
3 -8.0480802759792
3 -7.5752521169454
3 -7.058826755273
3 -6.50296128121
3 -5.9116606997296
3 -5.2883093786851
3 -4.6356270045546
3 -3.9559950038768
3 -3.25165964719
3 -2.5251124629753
3 -1.781981729348
3 -1.0457698369028
3 -0.42354195616065
3 0.09138144236552
3 0.093067383667128
3 0.47227266599192
3 0.80351026437264
3 0.83275100459239
3 1.3190059272738
3 1.4483578372175
3 1.6125610726142
3 1.843631902452
3 2.3064603435646
3 -15.308408386019
3 -14.973185716127
3 -14.424444529301
3 -13.675054369728
3 -12.74061070848
3 -11.639848191004
3 -10.395936187237
3 -9.037974292055
3 -7.6066604449092
3 -7.0538369914819
3 -6.1549175717091
3 -4.7078976211469
3 -3.2949569181661
3 -2.6295181182794
3 -1.4574972865603
3 -0.66873585139511
3 0.12284695756333
3 0.81588867926223
3 1.4410859653538
3 1.6570310433735
3 2.0056913044477
3 2.7714268852061
3 3.1572363260652
3 3.3513216167856
3 4.7306974196111
3 5.4778653062875
3 6.2992322367861
3 7.3858915588939
3 8.1025067545789
3 9.06462204368
3 -16.961434345789
3 -16.961353173503
3 -16.961217886646
3 -16.961028485645
3 -16.960784971101
3 -16.960487343783
3 -16.960135604635
3 -16.959729754769
3 -16.95926979547
3 -16.958755728195
3 -16.958187554571
3 -16.957565276396
3 -16.956888895641
3 -16.956158414446
3 -16.955373835125
3 -16.95453516016
3 -16.953642392208
3 -16.952695534095
3 -16.951694588819
3 -16.950639559548
3 -16.949530449624
3 -16.948367262558
3 -16.947150002032
3 -16.945878671903
3 -16.944553276194
3 -16.943173819104
3 -16.941740305001
3 -16.940252738424
3 -16.938711124084
3 -16.937115466864
3 -22.008639812171
3 -17.849896672453
3 -17.849808983288
3 -17.849662834993
3 -17.849458228035
3 -17.849195163072
3 -17.848873640948
3 -17.848493662694
3 -17.848055229528
3 -17.847558342858
3 -17.847003004277
3 -17.846389215567
3 -17.845716978696
3 -17.844986295822
3 -17.844197169288
3 -17.843349601625
3 -17.842443595551
3 -17.841479153975
3 -17.840456279988
3 -17.839374976872
3 -17.838235248095
3 -17.837037097312
3 -17.835780528368
3 -17.834465545292
3 -17.833092152301
3 -17.831660353801
3 -17.830170154383
3 -17.828621558827
3 -17.8270145721
3 -17.825349199354
3 -29.478029326806
3 -18.163908720495
3 -18.163819998529
3 -18.163672128897
3 -18.163465112067
3 -18.163198948695
3 -18.162873639622
3 -18.162489185878
3 -18.162045588681
3 -18.161542849432
3 -18.160980969724
3 -18.160359951334
3 -18.159679796228
3 -18.158940506557
3 -18.158142084661
3 -18.157284533068
3 -18.15636785449
3 -18.155392051827
3 -18.154357128169
3 -18.15326308679
3 -18.152109931152
3 -18.150897664903
3 -18.149626291881
3 -18.148295816107
3 -18.146906241793
3 -18.145457573335
3 -18.143949815317
3 -18.142382972511
3 -18.140757049874
3 -18.139072052551
3 -17.621972168541
3 -17.621888959588
3 -17.62175027829
3 -17.621556125083
3 -17.621306500575
3 -17.62100140555
3 -17.620640840965
3 -17.620224807952
3 -17.619753307816
3 -17.619226342036
3 -17.618643912267
3 -17.618006020336
3 -17.617312668245
3 -17.616563858169
3 -17.615759592459
3 -17.614899873639
3 -17.613984704406
3 -17.613014087633
3 -17.611988026366
3 -17.610906523825
3 -17.609769583405
3 -17.608577208673
3 -17.607329403372
3 -17.606026171418
3 -17.604667516902
3 -17.603253444089
3 -17.601783957418
3 -17.600259061499
3 -17.598678761122
3 -17.597043061245
