# Ky E
0 -2.6097895191583
1 -2.6135378828379
2 -2.6271892611737
3 -2.6218034868417
4 -2.6269296670932
5 -2.6902137185429
6 -2.6269296670933
7 -2.6218034868417
8 -2.6271892611737
9 -2.6135378828379
10 -2.6097895191584
11 -2.6135378828379
12 -2.6271892611738
13 -2.6218034868417
14 -2.6269296670932
15 -2.6902137185429
16 -2.6269296670931
17 -2.6218034868417
18 -2.6271892611738
19 -2.6135378828379
20 -2.6097895191583
21 -2.613537882838
22 -2.6271892611737
23 -2.6218034868417
24 -2.6269296670932
25 -2.690213718543
26 -2.6269296670932
