# Ky E
0 0.86962491239149
1 0.86962491239151
2 0.86962491239152
3 0.86962491239151
4 0.86962491239153
5 0.86962491239149
6 0.8696249123915
7 0.8696249123915
8 0.86962491239151
9 0.8696249123915
10 0.86962491239149
11 0.86962491239153
12 0.86962491239154
13 0.86962491239151
14 0.86962491239154
15 0.8696249123915
16 0.86962491239149
17 0.86962491239149
18 0.86962491239147
19 0.86962491239149
20 0.86962491239151
21 0.86962491239149
22 0.86962491239152
23 0.8696249123915
24 0.86962491239148
25 0.86962491239155
26 0.86962491239148
27 0.8696249123915
28 0.86962491239152
29 0.86962491239149
30 0.86962491239151
31 0.8696249123915
32 0.86962491239151
33 0.86962491239151
34 0.86962491239148
