# Ky E
0 -2.3540697840249
1 -2.293186722367
2 -2.2880932126937
3 -2.2956176285101
4 -2.2766637036728
5 -2.2766637036728
6 -2.29561762851
7 -2.2880932126937
8 -2.2931867223671
9 -2.3540697840248
10 -2.2931867223671
11 -2.2880932126937
12 -2.29561762851
13 -2.2766637036728
14 -2.2766637036728
15 -2.2956176285101
16 -2.2880932126937
17 -2.2931867223671
18 -2.3540697840248
19 -2.2931867223671
20 -2.2880932126938
21 -2.29561762851
22 -2.2766637036728
23 -2.2766637036728
24 -2.29561762851
25 -2.2880932126938
26 -2.2931867223671
