# Ky E
0 2.8985979954244e+28
0 4.2386927764602e+28
0 4.362368611962e+28
0 4.4690250996708e+28
0 4.640828439234e+28
0 4.7108091705417e+28
0 4.7561662361407e+28
0 4.8625418402216e+28
0 5.1824002317138e+28
0 5.201267460595e+28
0 5.2390862421337e+28
0 5.3293527199461e+28
0 5.5365804182467e+28
0 5.6298929846149e+28
0 5.7031003554974e+28
0 5.9984453554482e+28
0 6.0773789305026e+28
0 6.1859754556576e+28
0 6.2769303642896e+28
0 6.4412886810519e+28
0 6.4914941688732e+28
0 6.5645382631092e+28
0 6.687844801093e+28
0 6.8290123329421e+28
0 6.9180696881765e+28
0 7.0018059900994e+28
0 7.0879962826134e+28
0 7.1930260914253e+28
0 7.3119655028204e+28
0 7.4703469101515e+28
0 7.4908365027957e+28
0 7.6764334417957e+28
0 8.0595924970606e+28
0 8.2682951515622e+28
0 8.5182801891777e+28
0 8.6665730409758e+28
0 8.7395880603041e+28
0 9.1413745273963e+28
0 9.286931554689e+28
0 9.8240364719228e+28
0 1.0016383678195e+29
0 1.0272403449353e+29
1 2.8481879849586e+28
1 3.5275935752736e+28
1 4.2410099950477e+28
1 4.4134981098446e+28
1 4.6626341695931e+28
1 4.7780305766706e+28
1 4.8343286834574e+28
1 4.96074295043e+28
1 5.0176130515988e+28
1 5.1574181078201e+28
1 5.1864546200619e+28
1 5.2305877283145e+28
1 5.6022075742961e+28
1 5.682816855312e+28
1 5.7949586747797e+28
1 5.8884328673455e+28
1 5.9842757024605e+28
1 6.0705666964985e+28
1 6.1863550018815e+28
1 6.2641110786026e+28
1 6.2908337192627e+28
1 6.4432050716647e+28
1 6.6600417510031e+28
1 6.9325663892449e+28
1 7.0506589122998e+28
1 7.1468798119832e+28
1 7.2694753633275e+28
1 7.4415097490907e+28
1 7.5062488657602e+28
1 7.5293690970413e+28
1 8.1530015085132e+28
1 8.2465274588362e+28
1 8.2731779251822e+28
1 8.3921316899768e+28
1 8.833664638777e+28
1 8.9484680268316e+28
1 9.4438749094302e+28
1 9.5798462688704e+28
1 9.7233176800172e+28
1 9.8024130991928e+28
2 2.6037377002887e+28
2 3.1467741362847e+28
2 3.6396206333158e+28
2 3.7893832282443e+28
2 3.8379452129385e+28
2 4.0577423376537e+28
2 4.3008484649829e+28
2 4.3786834507895e+28
2 4.6145293072337e+28
2 4.6551293525495e+28
2 4.7865683952132e+28
2 4.9814112475407e+28
2 5.1892886586786e+28
2 5.2602841987421e+28
2 5.5442181301861e+28
2 5.5858879210106e+28
2 5.6973165526704e+28
2 5.8827767377872e+28
2 5.9829131915641e+28
2 6.2429058790931e+28
2 6.4107938030035e+28
2 6.5216923115266e+28
2 6.6838304274451e+28
2 6.777498404113e+28
2 6.8546275580944e+28
2 6.8744853353092e+28
2 6.9827466434394e+28
2 7.182141328001e+28
2 7.2519473584236e+28
2 7.4002905156337e+28
2 7.4830316348403e+28
2 7.680509017151e+28
2 7.9540462441784e+28
2 8.462584947469e+28
2 8.5465879563114e+28
2 8.6540093148406e+28
2 8.7443045403712e+28
2 8.7815851020727e+28
2 8.9163050911558e+28
2 9.1445098117129e+28
2 9.5652910931343e+28
2 1.0598273908329e+29
2 1.0649577354735e+29
3 2.7944419265148e+28
3 3.6315286552148e+28
3 4.239773383376e+28
3 4.534025278573e+28
3 4.610028134728e+28
3 4.713536266877e+28
3 4.7594123874326e+28
3 4.9417435204209e+28
3 5.0121484155509e+28
3 5.1469429635969e+28
3 5.2904453890699e+28
3 5.3579639850038e+28
3 5.6418283427955e+28
3 5.6830345932951e+28
3 5.7675787333154e+28
3 5.8285803383725e+28
3 5.8685922647637e+28
3 6.033525558535e+28
3 6.1623026250859e+28
3 6.3098633310703e+28
3 6.3509278933334e+28
3 6.3911842244111e+28
3 6.5737161499521e+28
3 6.9358672969541e+28
3 7.0505756493349e+28
3 7.1569918090371e+28
3 7.2739917014439e+28
3 7.4507140713655e+28
3 7.5326997126746e+28
3 7.6283326547791e+28
3 8.0647391994339e+28
3 8.2170165682613e+28
3 8.2978973857896e+28
3 8.4356616304168e+28
3 8.8229219116203e+28
3 8.9907192676281e+28
3 9.4820201407481e+28
3 9.5823674294218e+28
3 9.7303081446526e+28
3 9.9001265160301e+28
4 2.7982141139922e+28
4 4.3781982124008e+28
4 4.4891024567038e+28
4 4.5176194593598e+28
4 4.603458814445e+28
4 4.6060675224006e+28
4 4.7767907482774e+28
4 4.8976757015639e+28
4 5.1829659444448e+28
4 5.18829218741e+28
4 5.3275393196335e+28
4 5.444654000612e+28
4 5.4519327380548e+28
4 5.6105404202378e+28
4 5.6576920001165e+28
4 5.9021887553006e+28
4 6.0500006418215e+28
4 6.1003144630426e+28
4 6.3605318031805e+28
4 6.4135819402708e+28
4 6.5201394633323e+28
4 6.6531668652406e+28
4 6.6759687105946e+28
4 6.6962140136583e+28
4 6.7869055756864e+28
4 6.9452536275854e+28
4 7.0639917292677e+28
4 7.108817174109e+28
4 7.2212907558004e+28
4 7.5719725442894e+28
4 7.5955238818025e+28
4 7.7273915387125e+28
4 8.0920744916208e+28
4 8.2863141878949e+28
4 8.4286534823516e+28
4 8.6095629247107e+28
4 8.8202690358949e+28
4 9.20745060946e+28
4 9.326384444916e+28
4 9.8920429522502e+28
4 9.9973040568807e+28
4 1.022515145912e+29
5 2.7944419265148e+28
5 3.6315286552148e+28
5 4.239773383376e+28
5 4.534025278573e+28
5 4.610028134728e+28
5 4.713536266877e+28
5 4.7594123874326e+28
5 4.9417435204209e+28
5 5.0121484155509e+28
5 5.1469429635969e+28
5 5.2904453890699e+28
5 5.3579639850038e+28
5 5.6418283427955e+28
5 5.6830345932951e+28
5 5.7675787333154e+28
5 5.8285803383725e+28
5 5.8685922647637e+28
5 6.033525558535e+28
5 6.1623026250859e+28
5 6.3098633310703e+28
5 6.3509278933334e+28
5 6.3911842244111e+28
5 6.5737161499521e+28
5 6.9358672969541e+28
5 7.0505756493349e+28
5 7.1569918090371e+28
5 7.2739917014439e+28
5 7.4507140713655e+28
5 7.5326997126746e+28
5 7.6283326547791e+28
5 8.064739199434e+28
5 8.2170165682613e+28
5 8.2978973857896e+28
5 8.4356616304168e+28
5 8.8229219116203e+28
5 8.9907192676281e+28
5 9.4820201407481e+28
5 9.5823674294218e+28
5 9.7303081446526e+28
5 9.9001265160301e+28
6 2.6037377002887e+28
6 3.1467741362847e+28
6 3.6396206333158e+28
6 3.7893832282443e+28
6 3.8379452129385e+28
6 4.0577423376537e+28
6 4.3008484649829e+28
6 4.3786834507895e+28
6 4.6145293072337e+28
6 4.6551293525495e+28
6 4.7865683952132e+28
6 4.9814112475407e+28
6 5.1892886586786e+28
6 5.2602841987421e+28
6 5.5442181301861e+28
6 5.5858879210106e+28
6 5.6973165526704e+28
6 5.8827767377872e+28
6 5.9829131915641e+28
6 6.2429058790931e+28
6 6.4107938030035e+28
6 6.5216923115266e+28
6 6.6838304274451e+28
6 6.777498404113e+28
6 6.8546275580944e+28
6 6.8744853353092e+28
6 6.9827466434394e+28
6 7.182141328001e+28
6 7.2519473584236e+28
6 7.4002905156337e+28
6 7.4830316348404e+28
6 7.680509017151e+28
6 7.9540462441784e+28
6 8.462584947469e+28
6 8.5465879563114e+28
6 8.6540093148406e+28
6 8.7443045403712e+28
6 8.7815851020727e+28
6 8.9163050911557e+28
6 9.1445098117129e+28
6 9.5652910931343e+28
6 1.0598273908329e+29
6 1.0649577354735e+29
7 2.8481879849586e+28
7 3.5275935752736e+28
7 4.2410099950477e+28
7 4.4134981098446e+28
7 4.6626341695931e+28
7 4.7780305766706e+28
7 4.8343286834574e+28
7 4.96074295043e+28
7 5.0176130515988e+28
7 5.1574181078201e+28
7 5.1864546200619e+28
7 5.2305877283145e+28
7 5.6022075742961e+28
7 5.682816855312e+28
7 5.7949586747797e+28
7 5.8884328673455e+28
7 5.9842757024605e+28
7 6.0705666964985e+28
7 6.1863550018814e+28
7 6.2641110786026e+28
7 6.2908337192627e+28
7 6.4432050716647e+28
7 6.6600417510031e+28
7 6.9325663892449e+28
7 7.0506589122998e+28
7 7.1468798119832e+28
7 7.2694753633275e+28
7 7.4415097490907e+28
7 7.5062488657602e+28
7 7.5293690970413e+28
7 8.1530015085132e+28
7 8.2465274588362e+28
7 8.2731779251822e+28
7 8.3921316899768e+28
7 8.833664638777e+28
7 8.9484680268316e+28
7 9.4438749094302e+28
7 9.5798462688704e+28
7 9.7233176800172e+28
7 9.8024130991928e+28
8 2.8985979954244e+28
8 4.2386927764602e+28
8 4.362368611962e+28
8 4.4690250996708e+28
8 4.640828439234e+28
8 4.7108091705417e+28
8 4.7561662361407e+28
8 4.8625418402216e+28
8 5.1824002317138e+28
8 5.201267460595e+28
8 5.2390862421337e+28
8 5.3293527199461e+28
8 5.5365804182467e+28
8 5.6298929846149e+28
8 5.7031003554974e+28
8 5.9984453554482e+28
8 6.0773789305026e+28
8 6.1859754556576e+28
8 6.2769303642896e+28
8 6.4412886810519e+28
8 6.4914941688732e+28
8 6.5645382631092e+28
8 6.687844801093e+28
8 6.8290123329421e+28
8 6.9180696881765e+28
8 7.0018059900994e+28
8 7.0879962826134e+28
8 7.1930260914253e+28
8 7.3119655028204e+28
8 7.4703469101515e+28
8 7.4908365027957e+28
8 7.6764334417957e+28
8 8.0595924970606e+28
8 8.2682951515622e+28
8 8.5182801891777e+28
8 8.6665730409758e+28
8 8.7395880603041e+28
8 9.1413745273963e+28
8 9.286931554689e+28
8 9.8240364719228e+28
8 1.0016383678195e+29
8 1.0272403449353e+29
9 2.8377189874561e+28
9 3.5277846474969e+28
9 4.2093576430446e+28
9 4.3614497276308e+28
9 4.6015225472934e+28
9 4.7888979496342e+28
9 4.849668238526e+28
9 4.9725801866968e+28
9 5.0415098236723e+28
9 5.1595257876448e+28
9 5.2643410289792e+28
9 5.3857803713768e+28
9 5.6282080695329e+28
9 5.7098477566023e+28
9 5.791465727189e+28
9 5.9084448255282e+28
9 5.9716517693584e+28
9 6.0416330918466e+28
9 6.0985262905721e+28
9 6.2601581059158e+28
9 6.4326055910394e+28
9 6.4866012111985e+28
9 6.6011750620073e+28
9 6.8922274688706e+28
9 6.9601486684877e+28
9 7.1659032126767e+28
9 7.3906454098294e+28
9 7.4906455490719e+28
9 7.5049232847305e+28
9 7.5914008358249e+28
9 8.0373117771155e+28
9 8.1625506032955e+28
9 8.2101147845029e+28
9 8.4070236320834e+28
9 8.8497769214e+28
9 8.9377081258208e+28
9 9.4114139381112e+28
9 9.5515079587162e+28
9 9.6156034146197e+28
9 9.9333060620636e+28
10 2.6231580589312e+28
10 3.1597953438611e+28
10 3.6659636865167e+28
10 3.6949617461468e+28
10 3.8265693004271e+28
10 3.9995976603839e+28
10 4.2377891131511e+28
10 4.4363848428338e+28
10 4.5957860403895e+28
10 4.7057917562265e+28
10 4.8274817830804e+28
10 5.047626427814e+28
10 5.1458538313368e+28
10 5.3249458822719e+28
10 5.5261727005756e+28
10 5.6792856785612e+28
10 5.7219886043525e+28
10 5.9049951468347e+28
10 5.9618708931503e+28
10 6.3813334916274e+28
10 6.5218767281203e+28
10 6.5653646555872e+28
10 6.6133089928579e+28
10 6.709834635379e+28
10 6.8304188154853e+28
10 6.9183654207161e+28
10 7.0369454079375e+28
10 7.2221327627661e+28
10 7.3198803232866e+28
10 7.3663726124295e+28
10 7.3888949839546e+28
10 7.7559630846589e+28
10 8.0077000577943e+28
10 8.4487971584953e+28
10 8.4527779249553e+28
10 8.5725067805625e+28
10 8.7178067260055e+28
10 8.7713968281576e+28
10 8.8502583029854e+28
10 9.239474307931e+28
10 9.456380222299e+28
10 1.059410760978e+29
10 1.0759740962116e+29
11 2.837718987456e+28
11 3.5277846474969e+28
11 4.2093576430446e+28
11 4.3614497276308e+28
11 4.6015225472934e+28
11 4.7888979496342e+28
11 4.849668238526e+28
11 4.9725801866968e+28
11 5.0415098236723e+28
11 5.1595257876448e+28
11 5.2643410289792e+28
11 5.3857803713768e+28
11 5.6282080695329e+28
11 5.7098477566023e+28
11 5.791465727189e+28
11 5.9084448255282e+28
11 5.9716517693584e+28
11 6.0416330918466e+28
11 6.0985262905721e+28
11 6.2601581059158e+28
11 6.4326055910394e+28
11 6.4866012111985e+28
11 6.6011750620073e+28
11 6.8922274688706e+28
11 6.9601486684877e+28
11 7.1659032126767e+28
11 7.3906454098294e+28
11 7.4906455490719e+28
11 7.5049232847305e+28
11 7.5914008358249e+28
11 8.0373117771155e+28
11 8.1625506032955e+28
11 8.2101147845029e+28
11 8.4070236320834e+28
11 8.8497769214e+28
11 8.9377081258208e+28
11 9.4114139381112e+28
11 9.5515079587162e+28
11 9.6156034146197e+28
11 9.9333060620636e+28
