# Kx Ky E
0 3 -5.3290705182008e-14
0 3 -2.6645352591004e-14
0 3 -1.9539925233403e-14
0 3 -1.0658141036402e-14
0 3 -5.3290705182008e-15
0 3 -3.5527136788005e-15
0 3 -1.7763568394003e-15
0 3 1.7763568394003e-15
0 3 3.5527136788005e-15
0 3 3.5527136788005e-15
0 3 5.3290705182008e-15
0 3 7.105427357601e-15
0 3 7.105427357601e-15
0 3 1.5987211554602e-14
0 3 1.7763568394003e-14
0 3 0.54492803049312
0 3 0.54500327075082
0 3 0.54500703139137
0 3 0.54500810923465
0 3 0.54508547224801
0 3 0.54776725116017
0 3 0.54806226039149
0 3 0.54828096974135
0 3 0.54839030868159
0 3 0.5494878403569
0 3 0.55171184934566
0 3 0.5519380314697
0 3 0.5526071778489
0 3 0.55553837660931
0 3 0.55760100736635
