# Ky E
0 -2.3540661140631
1 -2.2931831712309
2 -2.2880896656767
3 -2.2956140647444
4 -2.2766602177451
5 -2.2766602177451
6 -2.2956140647443
7 -2.2880896656766
8 -2.293183171231
9 -2.3540661140631
10 -2.293183171231
11 -2.2880896656766
12 -2.2956140647443
13 -2.2766602177451
14 -2.2766602177451
15 -2.2956140647444
16 -2.2880896656766
17 -2.2931831712309
18 -2.3540661140631
19 -2.293183171231
20 -2.2880896656767
21 -2.2956140647443
22 -2.2766602177451
23 -2.2766602177451
24 -2.2956140647443
25 -2.2880896656767
26 -2.293183171231
