# Ky E
0 -2.3183274207434
1 -2.2586039768187
2 -2.2535515421727
3 -2.2609132038511
4 -2.2427094849666
5 -2.2427094849665
6 -2.2609132038511
7 -2.2535515421727
8 -2.2586039768186
9 -2.3183274207435
10 -2.2586039768187
11 -2.2535515421726
12 -2.260913203851
13 -2.2427094849666
14 -2.2427094849665
15 -2.2609132038511
16 -2.2535515421727
17 -2.2586039768186
18 -2.3183274207435
19 -2.2586039768187
20 -2.2535515421726
21 -2.2609132038511
22 -2.2427094849666
23 -2.2427094849666
24 -2.2609132038511
25 -2.2535515421726
26 -2.2586039768186
