# Ky E
0 -0.013333825872758
1 -0.013333859216758
2 -0.013333605757488
3 -0.013333451393542
4 -0.013334864816693
5 -0.013334363902766
6 -0.013333749126454
7 -0.013333971845254
8 -0.013333048595841
9 -0.013334020018416
10 -0.013333396932529
11 -0.013333393681208
12 -0.01333342768638
13 -0.013333304154241
14 -0.013333502538293
15 -0.013333771470251
16 -0.013334316394563
17 -0.013334106810849
18 -0.013333623823108
19 -0.013333639307396
20 -0.013333651897923
21 -0.013333392629832
22 -0.013333598201687
23 -0.013333624727796
24 -0.013334070701346
25 -0.013333630091784
26 -0.013333309152852
