# Ky E
0 0.029045625175966
1 0.028274867703514
2 0.028804004557422
3 0.02827486770353
4 1.3500311979442e-13
5 0.028274867703555
6 0.028804004557392
7 0.028274867703535
8 0.029045625176057
9 0.028274867703507
10 0.028804004557397
11 0.028274867703496
12 6.750155989721e-14
13 0.028274867703493
14 0.028804004557479
15 0.028274867703571
16 0.029045625176026
17 0.028274867703532
18 0.028804004557323
19 0.028274867703571
20 -7.105427357601e-15
21 0.028274867703583
22 0.028804004557388
23 0.0282748677035
