# Ky E
0 -0.011666608989543
1 -0.011666598436967
2 -0.011666606016638
3 -0.011666582312861
4 -0.011666679089558
5 -0.011666565371989
6 -0.011666657562044
7 -0.011666602211566
8 -0.011666665297502
9 -0.011666691288278
10 -0.011666695849655
11 -0.011666585553565
12 -0.011666651716739
13 -0.011666682835211
14 -0.011666691442651
15 -0.011666573799012
16 -0.011666641992067
17 -0.011666611598287
18 -0.011666560062878
19 -0.011666591072881
20 -0.011666675916681
21 -0.011666632670506
22 -0.011666696865259
23 -0.01166674380168
